Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,42.800,15.239,8.044,12.162,14.730,17.866,20.301,21.979,25.065,28.828,0.066
5,45.200,14.623,7.340,11.738,14.355,16.495,19.215,22.071,25.877,61.219,0.068
10,48.600,14.061,7.431,11.249,13.590,16.295,18.965,19.522,23.763,25.114,0.071
15,48.400,14.055,7.206,11.405,13.525,15.924,18.879,20.664,24.696,26.524,0.071
20,50.600,13.575,6.728,10.963,13.166,15.902,18.463,19.552,22.354,22.924,0.074
25,53.200,12.934,6.562,10.313,12.540,15.021,17.477,19.504,22.407,23.985,0.077
30,45.400,13.294,6.972,10.863,12.997,15.156,17.689,18.825,21.647,25.990,0.075
35,49.800,13.266,7.317,10.946,12.952,15.104,17.276,19.787,21.978,23.179,0.075
40,44.600,14.523,6.975,11.339,14.075,16.672,19.953,21.929,26.641,68.576,0.069
45,41.400,16.232,7.767,13.268,15.448,18.842,21.267,23.139,25.663,64.018,0.062
50,42.600,13.532,8.052,10.731,13.247,15.702,17.775,20.048,22.119,26.248,0.074
55,42.600,14.195,7.442,11.304,14.026,16.931,19.308,21.639,23.283,25.865,0.070
