Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,43.400,5.500,3.294,4.614,5.136,6.018,7.299,7.967,9.137,13.452,0.182
5,40.200,5.086,3.465,4.350,4.842,5.548,6.458,7.178,7.954,9.321,0.197
10,41.400,5.083,3.516,4.335,4.847,5.520,6.760,7.230,9.095,9.320,0.197
15,43.600,5.066,3.430,4.259,4.731,5.600,6.394,7.088,9.118,11.542,0.197
20,41.600,4.824,3.246,4.086,4.513,5.253,6.333,6.988,8.501,9.839,0.207
25,45.000,4.815,3.352,4.140,4.555,5.133,6.008,6.910,8.901,10.000,0.208
30,47.000,4.981,3.283,4.234,4.670,5.378,6.255,7.336,9.576,12.176,0.201
35,43.800,4.888,3.290,4.151,4.580,5.351,6.289,6.972,8.841,10.445,0.205
40,41.400,5.234,3.383,4.289,4.875,5.754,7.032,7.909,10.540,11.926,0.191
45,40.200,5.767,3.190,4.891,5.398,6.223,7.719,8.834,10.258,12.525,0.173
50,43.800,4.958,3.342,4.261,4.634,5.349,6.065,6.561,9.841,13.849,0.202
55,40.000,5.071,3.120,4.313,4.814,5.614,6.425,7.497,8.260,9.904,0.197
