Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,2.458,1.598,1.856,2.322,3.132,3.496,3.583,3.583,3.583,0.407
5,2.200,2.466,1.939,1.994,2.111,2.819,3.221,4.483,4.483,4.483,0.405
10,3.400,2.056,1.433,1.641,1.924,2.082,2.809,3.649,3.649,3.649,0.486
15,4.400,2.048,1.427,1.678,1.829,2.397,2.743,2.840,3.140,3.140,0.488
20,1.800,2.465,1.756,1.900,2.210,2.766,4.343,4.343,4.343,4.343,0.406
25,4.200,1.993,1.533,1.742,1.921,2.102,2.600,2.681,3.018,3.018,0.502
30,6.000,2.149,1.376,1.758,1.952,2.446,3.107,3.635,4.285,4.285,0.465
35,3.400,1.839,1.404,1.630,1.895,2.065,2.185,2.201,2.201,2.201,0.544
40,3.200,2.163,1.523,1.760,2.208,2.439,2.765,3.415,3.415,3.415,0.462
45,4.000,2.218,1.476,1.889,2.306,2.522,2.933,3.075,3.075,3.075,0.451
50,4.000,1.998,1.402,1.927,2.042,2.106,2.295,2.560,2.560,2.560,0.500
55,3.800,2.157,1.399,1.857,2.048,2.250,2.680,3.842,3.842,3.842,0.464
