Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1694010734.702160,12792,0,1
2,Payment,1694010734.715024,6500,0,1
1,NewOrder,1694010734.721542,19404,0,1
2,Payment,1694010734.740962,6225,0,1
1,NewOrder,1694010734.747200,22209,0,1
1,NewOrder,1694010734.769426,9612,0,1
1,NewOrder,1694010734.779052,13770,0,1
1,NewOrder,1694010734.792839,15501,0,1
1,NewOrder,1694010734.808356,25364,0,1
1,NewOrder,1694010734.833742,18915,0,1
2,Payment,1694010734.852675,7687,0,1
1,NewOrder,1694010734.860375,15406,0,1
1,NewOrder,1694010734.875798,17010,0,1
2,Payment,1694010734.892823,6488,0,1
1,NewOrder,1694010734.899323,14266,0,1
2,Payment,1694010734.913603,5690,0,1
1,NewOrder,1694010734.919305,24182,0,1
1,NewOrder,1694010734.943501,20882,0,1
1,NewOrder,1694010734.964398,10218,0,1
2,Payment,1694010734.974628,7398,0,1
1,NewOrder,1694010734.982040,16687,0,1
5,StockLevel,1694010734.998740,3633,0,1
2,Payment,1694010735.002386,5981,0,1
2,Payment,1694010735.008382,6451,0,1
2,Payment,1694010735.014847,5115,0,1
2,Payment,1694010735.019975,7378,0,1
4,Delivery,1694010735.027367,46197,0,1
2,Payment,1694010735.073581,6875,0,1
1,NewOrder,1694010735.080473,14861,0,1
1,NewOrder,1694010735.095348,10753,0,1
2,Payment,1694010735.106116,4868,0,1
2,Payment,1694010735.110998,5694,0,1
1,NewOrder,1694010735.116705,22432,0,1
2,Payment,1694010735.139154,5900,0,1
1,NewOrder,1694010735.145068,16321,0,1
2,Payment,1694010735.161403,13948,0,1
1,NewOrder,1694010735.175365,16820,0,1
1,NewOrder,1694010735.192204,12280,0,1
1,NewOrder,1694010735.204499,20559,0,1
2,Payment,1694010735.225082,8545,0,1
1,NewOrder,1694010735.233646,16172,0,1
2,Payment,1694010735.249838,7307,0,1
2,Payment,1694010735.257164,7295,0,1
2,Payment,1694010735.264501,6737,0,1
1,NewOrder,1694010735.271252,9905,0,1
2,Payment,1694010735.281176,5547,0,1
1,NewOrder,1694010735.286739,13136,0,1
2,Payment,1694010735.299896,4435,0,1
1,NewOrder,1694010735.304350,10938,0,1
1,NewOrder,1694010735.315307,12373,0,1
3,OrderStatus,1694010735.327698,3608,0,1
2,Payment,1694010735.331319,5552,0,1
2,Payment,1694010735.336886,5323,0,1
4,Delivery,1694010735.342221,34865,0,1
1,NewOrder,1694010735.377138,10325,0,1
2,Payment,1694010735.387478,3979,0,1
2,Payment,1694010735.391471,5123,0,1
2,Payment,1694010735.396608,4284,0,1
1,NewOrder,1694010735.400904,14538,0,1
1,NewOrder,1694010735.415457,19057,0,1
1,NewOrder,1694010735.434528,11132,0,1
4,Delivery,1694010735.445675,44150,0,1
1,NewOrder,1694010735.489860,14544,0,1
1,NewOrder,1694010735.504419,12570,0,1
3,OrderStatus,1694010735.517060,1958,0,1
2,Payment,1694010735.519030,4652,0,1
1,NewOrder,1694010735.523696,16128,0,1
1,NewOrder,1694010735.539839,15856,0,1
2,Payment,1694010735.555707,5758,0,1
1,NewOrder,1694010735.561477,13628,0,1
2,Payment,1694010735.575122,41143,0,1
1,NewOrder,1694010735.616279,12918,0,1
1,NewOrder,1694010735.629213,16501,0,1
4,Delivery,1694010735.645726,38343,0,1
1,NewOrder,1694010735.684084,17327,0,1
2,Payment,1694010735.701425,4407,0,1
1,NewOrder,1694010735.705897,14031,0,1
2,Payment,1694010735.719939,4739,0,1
2,Payment,1694010735.724690,4724,0,1
2,Payment,1694010735.729425,4108,0,1
2,Payment,1694010735.733545,4228,0,1
1,NewOrder,1694010735.737784,12618,0,1
2,Payment,1694010735.750413,5006,0,1
5,StockLevel,1694010735.755433,2154,0,1
2,Payment,1694010735.757598,4488,0,1
2,Payment,1694010735.762097,4474,0,1
1,NewOrder,1694010735.766582,10095,0,1
2,Payment,1694010735.776690,4382,0,1
2,Payment,1694010735.781083,4617,0,1
5,StockLevel,1694010735.785712,2290,0,1
1,NewOrder,1694010735.788012,16500,0,1
2,Payment,1694010735.804528,4786,0,1
1,NewOrder,1694010735.809328,8312,0,1
1,NewOrder,1694010735.817651,12878,0,1
1,NewOrder,1694010735.830540,12661,0,1
3,OrderStatus,1694010735.843213,2091,0,1
1,NewOrder,1694010735.845316,7591,0,1
2,Payment,1694010735.852985,4375,0,1
2,Payment,1694010735.857374,4364,0,1
4,Delivery,1694010735.861751,28873,0,1
1,NewOrder,1694010735.890638,11581,0,1
2,Payment,1694010735.902230,4819,0,1
1,NewOrder,1694010735.907061,11337,0,1
1,NewOrder,1694010735.918409,15639,0,1
1,NewOrder,1694010735.934062,16264,0,1
2,Payment,1694010735.950337,5013,0,1
2,Payment,1694010735.955364,3996,0,1
2,Payment,1694010735.959376,3832,0,1
2,Payment,1694010735.963219,4523,0,1
4,Delivery,1694010735.967755,30781,0,1
2,Payment,1694010735.998552,4548,0,1
2,Payment,1694010736.003111,4241,0,1
1,NewOrder,1694010736.007362,15130,0,1
1,NewOrder,1694010736.022503,16865,0,1
1,NewOrder,1694010736.039381,15307,0,1
1,NewOrder,1694010736.054702,16277,0,1
1,NewOrder,1694010736.070990,12355,0,1
2,Payment,1694010736.083356,3939,0,1
1,NewOrder,1694010736.087306,9137,0,1
2,Payment,1694010736.096457,4120,0,1
2,Payment,1694010736.100587,3924,0,1
1,NewOrder,1694010736.104521,8115,0,1
1,NewOrder,1694010736.112647,7685,0,1
2,Payment,1694010736.120343,3696,0,1
2,Payment,1694010736.124053,3824,0,1
2,Payment,1694010736.127925,3753,0,1
2,Payment,1694010736.131689,4208,0,1
1,NewOrder,1694010736.135952,12055,0,1
1,NewOrder,1694010736.148024,12051,0,1
2,Payment,1694010736.160088,4591,0,1
2,Payment,1694010736.164689,4607,0,1
2,Payment,1694010736.169309,4026,0,1
2,Payment,1694010736.173348,4302,0,1
2,Payment,1694010736.177660,4814,0,1
1,NewOrder,1694010736.182485,12002,0,1
1,NewOrder,1694010736.194499,10397,0,1
1,NewOrder,1694010736.204907,11982,0,1
2,Payment,1694010736.216899,4511,0,1
3,OrderStatus,1694010736.221422,2335,0,1
2,Payment,1694010736.223769,4642,0,1
2,Payment,1694010736.228423,3759,0,1
1,NewOrder,1694010736.232192,14962,0,1
2,Payment,1694010736.247168,4463,0,1
1,NewOrder,1694010736.251641,14722,0,1
2,Payment,1694010736.266374,4277,0,1
2,Payment,1694010736.270662,10021,0,1
3,OrderStatus,1694010736.280695,1824,0,1
2,Payment,1694010736.282530,4133,0,1
1,NewOrder,1694010736.286674,17826,0,1
1,NewOrder,1694010736.304513,8349,0,1
2,Payment,1694010736.312873,4939,0,1
5,StockLevel,1694010736.317822,2346,0,1
1,NewOrder,1694010736.320178,14356,0,1
1,NewOrder,1694010736.334547,16048,0,1
1,NewOrder,1694010736.350608,17487,0,1
1,NewOrder,1694010736.368107,11973,0,1
2,Payment,1694010736.380092,4646,0,1
1,NewOrder,1694010736.384751,18536,0,1
2,Payment,1694010736.403301,5597,0,1
1,NewOrder,1694010736.408912,10734,0,1
1,NewOrder,1694010736.419658,11474,0,1
5,StockLevel,1694010736.431145,2030,0,1
1,NewOrder,1694010736.433184,10081,0,1
