Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,34.588,26.861,30.122,33.619,38.343,44.150,46.197,46.197,46.197,0.029
5,4.200,32.359,24.961,29.357,32.348,35.111,36.887,38.699,43.156,43.156,0.031
10,3.200,31.270,25.836,27.501,29.571,33.956,41.364,42.841,42.841,42.841,0.032
15,2.800,31.106,25.013,28.893,31.000,33.322,34.232,39.291,39.291,39.291,0.032
20,4.200,31.542,26.212,29.201,31.434,33.588,36.039,36.060,39.662,39.662,0.032
25,3.200,29.311,22.619,27.478,29.833,31.488,31.794,35.970,35.970,35.970,0.034
30,2.400,31.772,26.732,30.951,31.441,32.514,33.001,42.096,42.096,42.096,0.031
35,5.200,32.468,23.394,30.599,32.120,34.737,38.380,39.261,44.412,44.412,0.031
40,3.400,31.823,27.445,30.747,31.226,32.992,36.782,39.316,39.316,39.316,0.031
45,3.400,34.179,27.558,31.904,34.889,36.734,38.884,39.385,39.385,39.385,0.029
50,4.800,34.293,25.810,31.115,34.289,36.819,39.700,42.559,44.309,44.309,0.029
55,2.800,31.405,24.509,28.111,30.665,36.109,37.004,42.731,42.731,42.731,0.032
