Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.200,2.230,1.660,1.875,2.004,2.402,3.000,3.479,3.608,3.608,0.448
5,4.400,1.705,1.039,1.419,1.711,1.840,2.201,2.383,2.447,2.447,0.587
10,3.400,1.806,1.143,1.474,1.748,1.822,2.433,3.422,3.422,3.422,0.554
15,4.200,1.600,0.933,1.402,1.565,1.852,2.015,2.048,2.224,2.224,0.625
20,2.600,1.852,1.116,1.489,1.724,2.129,2.316,3.116,3.116,3.116,0.540
25,4.400,1.867,1.226,1.494,1.710,1.900,2.051,2.530,5.638,5.638,0.536
30,4.600,1.864,1.214,1.395,1.685,2.172,2.527,3.084,3.274,3.274,0.536
35,3.400,1.566,1.213,1.364,1.542,1.716,1.923,1.969,1.969,1.969,0.639
40,4.200,1.736,1.005,1.457,1.676,1.921,2.353,2.475,2.528,2.528,0.576
45,6.200,2.096,1.121,1.543,1.766,2.184,2.432,5.213,7.171,7.171,0.477
50,4.000,1.651,1.143,1.380,1.616,1.868,2.243,2.520,2.520,2.520,0.606
55,4.000,1.921,1.198,1.500,1.775,2.120,2.719,4.933,4.933,4.933,0.521
