Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,94.800,10.537,1.329,4.639,9.366,14.836,18.110,24.182,41.143,46.197,0.095
5,97.200,10.313,1.039,4.735,7.312,14.232,18.343,21.333,35.446,126.363,0.097
10,94.800,10.523,1.143,4.689,9.521,15.249,19.284,22.490,33.613,42.841,0.095
15,102.000,9.797,0.933,4.525,7.253,14.655,17.957,20.362,32.198,64.005,0.102
20,97.200,10.284,1.116,4.658,8.272,14.420,19.362,23.814,34.169,39.662,0.097
25,106.800,9.352,1.226,4.464,6.347,14.100,17.336,19.731,30.890,35.970,0.107
30,100.200,9.971,1.214,4.652,7.168,14.779,18.372,22.324,31.441,42.096,0.100
35,92.200,10.837,1.213,4.811,7.818,15.521,20.800,29.074,35.164,44.412,0.092
40,101.000,9.904,1.005,4.469,7.583,14.252,17.930,21.266,32.926,39.316,0.101
45,98.000,10.204,1.121,4.504,7.073,14.752,19.029,22.370,36.734,39.385,0.098
50,96.200,10.421,1.143,4.547,7.173,14.737,19.436,25.810,37.242,44.309,0.096
55,99.000,10.038,1.198,4.587,8.979,14.246,18.576,21.602,31.232,42.731,0.100
