Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,76,76.000,1958,6225,12280,13188,16501,22432,38343,46197,46197
1,119,119.000,1824,4241,5006,8409,12355,16277,17388,28873,30781
2,101,101.000,1716,4541,8687,9899,14364,16916,25185,30290,30781
3,89,89.000,1329,5279,10680,11266,14898,18736,29895,43438,43438
4,89,89.000,1637,4726,11010,11110,16399,19496,22884,33619,33619
5,90,90.000,1627,4800,10576,12390,16251,20026,24961,126363,126363
6,93,93.000,1039,4564,6994,9546,13776,17234,20189,36887,36887
7,108,108.000,1200,4668,6313,9257,13783,17514,18343,29577,38699
8,101,101.000,1404,4739,6404,10078,13950,17641,21333,35446,43156
9,94,94.000,1373,4918,9346,10545,14443,20275,29357,35111,35111
10,84,84.000,1143,5151,11389,11745,16119,21642,28366,41364,41364
11,100,100.000,1474,4432,6263,10045,15963,19284,25986,33956,33956
12,94,94.000,1607,4851,10434,10638,16015,19759,21111,28078,28078
13,100,100.000,1262,4405,7949,9930,14107,17798,25836,42841,42841
14,96,96.000,1439,5150,10025,10451,15167,17437,20428,33613,33613
15,102,102.000,1323,4666,7725,9808,14431,17647,19541,27082,30421
16,93,93.000,1402,4881,10426,10809,15598,17891,18961,64005,64005
17,102,102.000,1407,4291,6887,9681,13950,18319,29582,33847,39291
18,109,109.000,1280,4478,6130,9160,14484,18269,19655,28356,34232
19,104,104.000,933,4425,9252,9661,13918,18077,19922,28893,30434
20,87,87.000,1489,5087,11071,11521,15367,19743,28059,35914,35914
21,93,93.000,1407,4830,8268,10735,13914,20436,29584,39662,39662
22,98,98.000,1382,4799,6587,10168,14455,19842,26212,31990,31990
23,99,99.000,1634,4411,9280,10137,14471,18833,21963,32771,32771
24,109,109.000,1116,4366,5698,9150,12729,18013,20240,31434,36060
25,101,101.000,1494,4893,8032,9862,14335,16834,20891,31488,31514
26,100,100.000,1315,4562,9824,10024,14706,17180,19495,31794,31794
27,116,116.000,1226,4338,5503,8676,12878,17582,19598,27818,35970
28,101,101.000,1330,4500,6624,9882,15113,18821,22415,29833,31268
29,116,116.000,1267,4322,5644,8541,13511,16762,18508,20280,21265
30,109,109.000,1315,4311,5277,9171,13265,16561,20547,32070,32514
31,114,114.000,1214,4342,5733,8895,12568,16820,19467,31441,33001
32,96,96.000,1830,4711,8873,10230,14502,18679,22481,32410,32410
33,96,96.000,1542,4892,8238,10400,16232,18364,21689,23748,23748
34,86,86.000,1310,5486,9685,11640,16552,22678,23521,42096,42096
35,83,83.000,1325,5482,10372,12091,16773,22987,30957,39261,39261
36,104,104.000,1213,4331,6468,9675,15059,16732,22139,30384,33614
37,84,84.000,1498,4844,10111,11816,16062,23394,31029,44412,44412
38,100,100.000,1542,4740,6288,10033,15133,21781,27508,35044,35044
39,90,90.000,1364,4629,9530,11001,16774,21631,23510,36713,36713
40,101,101.000,1144,4447,6328,9949,14831,18024,21266,32926,33832
41,94,94.000,1212,4862,11563,10680,15380,17697,19386,29667,29667
42,107,107.000,1005,4376,6230,9390,13557,18013,19185,33302,36782
43,107,107.000,1688,4131,6261,9300,13814,17325,20066,32992,39316
44,96,96.000,1457,4674,10232,10340,14252,17925,28002,31447,31447
45,83,83.000,1766,4849,11601,12285,16891,21742,35642,39385,39385
46,97,97.000,1299,4618,6634,10336,14772,20228,25018,38884,38884
47,96,96.000,1264,4873,5731,10192,14901,19657,22370,32345,32345
48,99,99.000,1445,4500,6328,10048,14950,18240,21219,38147,38147
49,115,115.000,1121,4034,6910,8731,13832,15899,18124,27558,29290
50,102,102.000,1172,4210,8555,9748,13453,17295,22987,34289,36742
51,101,101.000,1143,4413,5718,9974,14150,18581,25725,42559,44309
52,98,98.000,1569,4491,6246,10159,13900,19868,22474,36819,36819
53,86,86.000,1352,4743,6704,11745,16582,30398,33295,39700,39700
54,94,94.000,1367,4848,10613,10690,16057,19436,21916,32139,32139
55,109,109.000,1198,4514,5862,8969,12800,17221,18731,27937,36622
56,109,109.000,1528,4325,5528,9229,13172,18634,21656,36109,37004
57,95,95.000,1380,4335,9438,10584,15331,19513,28111,42731,42731
58,96,96.000,1331,4947,9858,10393,14781,18480,21255,23958,23958
59,86,86.000,1407,5111,11458,11413,17413,18738,22089,31232,31232
