Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.000,12.146,10.227,10.732,11.019,11.554,12.400,13.400,50.676,50.676,0.082
5,8.400,11.077,10.142,10.646,10.829,11.427,11.845,12.096,13.510,13.510,0.090
10,9.400,10.652,9.958,10.412,10.537,10.763,10.920,11.112,14.493,14.493,0.094
15,10.200,10.812,10.226,10.596,10.795,10.975,11.134,11.289,11.696,11.696,0.092
20,13.200,10.582,9.979,10.382,10.532,10.818,11.020,11.178,11.441,11.441,0.094
25,10.600,10.528,9.835,10.312,10.530,10.722,10.834,11.040,11.293,11.293,0.095
30,10.600,10.460,9.268,9.738,10.089,10.643,12.267,12.707,13.386,13.386,0.096
35,8.200,9.986,9.544,9.759,9.875,10.085,10.219,10.686,12.081,12.081,0.100
40,11.200,9.272,8.376,8.690,8.889,9.893,10.433,11.159,11.741,11.741,0.108
45,13.800,8.836,8.279,8.674,8.798,8.977,9.174,9.237,10.298,10.298,0.113
50,10.000,9.614,8.180,8.585,8.807,9.007,9.229,9.586,45.787,45.787,0.104
55,13.800,8.964,8.357,8.712,8.877,9.016,9.253,9.877,12.050,12.050,0.112
