Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.600,1.371,0.456,0.662,1.502,1.718,2.354,2.614,3.495,3.495,0.730
5,9.200,0.908,0.428,0.476,0.532,1.460,1.586,1.597,1.793,1.793,1.101
10,9.800,1.053,0.415,0.462,1.351,1.499,1.587,1.637,1.751,1.751,0.950
15,9.800,1.079,0.392,0.456,1.341,1.489,1.603,1.637,1.678,1.678,0.926
20,8.600,0.902,0.392,0.423,0.476,1.450,1.488,1.535,1.588,1.588,1.108
25,9.200,1.001,0.374,0.421,1.296,1.478,1.517,1.546,1.644,1.644,0.999
30,12.200,0.612,0.398,0.466,0.494,0.550,1.304,1.549,1.615,1.615,1.635
35,13.600,0.500,0.410,0.471,0.494,0.529,0.556,0.603,0.627,0.627,1.998
40,11.800,0.446,0.387,0.413,0.440,0.471,0.496,0.526,0.605,0.605,2.240
45,11.400,0.422,0.384,0.406,0.416,0.431,0.453,0.479,0.486,0.486,2.371
50,10.600,0.426,0.386,0.412,0.418,0.436,0.451,0.474,0.543,0.543,2.349
55,15.200,0.420,0.379,0.402,0.413,0.433,0.451,0.477,0.566,0.566,2.380
