Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1694006921.476295,14557,0,1
2,Payment,1694006921.490940,12893,0,1
1,NewOrder,1694006921.503851,5414,0,1
2,Payment,1694006921.509282,3047,0,1
2,Payment,1694006921.512345,2954,0,1
1,NewOrder,1694006921.515312,8781,0,1
2,Payment,1694006921.524108,2964,0,1
1,NewOrder,1694006921.527085,6816,0,1
4,Delivery,1694006921.533917,17635,0,1
4,Delivery,1694006921.551568,12499,0,1
2,Payment,1694006921.564087,3488,0,1
1,NewOrder,1694006921.567587,6130,0,1
1,NewOrder,1694006921.573738,6372,0,1
1,NewOrder,1694006921.580127,5764,0,1
1,NewOrder,1694006921.585908,5571,0,1
2,Payment,1694006921.591496,3070,0,1
2,Payment,1694006921.594582,2736,0,1
2,Payment,1694006921.597332,2857,0,1
2,Payment,1694006921.600201,2789,0,1
1,NewOrder,1694006921.603003,5640,0,1
2,Payment,1694006921.608659,2709,0,1
1,NewOrder,1694006921.611381,7655,0,1
2,Payment,1694006921.619056,2869,0,1
1,NewOrder,1694006921.621944,5951,0,1
1,NewOrder,1694006921.627912,6601,0,1
2,Payment,1694006921.634532,3007,0,1
5,StockLevel,1694006921.637561,2112,0,1
2,Payment,1694006921.639689,2504,0,1
1,NewOrder,1694006921.642208,5462,0,1
2,Payment,1694006921.647684,2365,0,1
1,NewOrder,1694006921.650062,4611,0,1
1,NewOrder,1694006921.654687,5750,0,1
2,Payment,1694006921.660455,2434,0,1
2,Payment,1694006921.662904,2456,0,1
1,NewOrder,1694006921.665374,5773,0,1
1,NewOrder,1694006921.671163,6930,0,1
1,NewOrder,1694006921.678111,6367,0,1
2,Payment,1694006921.684495,2599,0,1
2,Payment,1694006921.687109,2237,0,1
2,Payment,1694006921.689359,2261,0,1
1,NewOrder,1694006921.691631,4217,0,1
2,Payment,1694006921.695860,2256,0,1
2,Payment,1694006921.698128,2233,0,1
1,NewOrder,1694006921.700383,5296,0,1
2,Payment,1694006921.705695,2632,0,1
1,NewOrder,1694006921.708339,4386,0,1
2,Payment,1694006921.712736,2163,0,1
4,Delivery,1694006921.714911,11515,0,1
2,Payment,1694006921.726439,2619,0,1
5,StockLevel,1694006921.729070,1371,0,1
2,Payment,1694006921.730451,2824,0,1
1,NewOrder,1694006921.733287,5304,0,1
2,Payment,1694006921.738602,2127,0,1
2,Payment,1694006921.740740,2209,0,1
2,Payment,1694006921.742960,2518,0,1
1,NewOrder,1694006921.745489,6212,0,1
2,Payment,1694006921.751715,2665,0,1
1,NewOrder,1694006921.754393,4614,0,1
2,Payment,1694006921.759020,2174,0,1
2,Payment,1694006921.761207,2732,0,1
2,Payment,1694006921.763951,2185,0,1
2,Payment,1694006921.766149,2238,0,1
2,Payment,1694006921.768401,2496,0,1
1,NewOrder,1694006921.770909,3919,0,1
1,NewOrder,1694006921.774852,5433,0,1
1,NewOrder,1694006921.780296,5185,0,1
2,Payment,1694006921.785492,2515,0,1
4,Delivery,1694006921.788017,11380,0,1
3,OrderStatus,1694006921.799416,2309,0,1
2,Payment,1694006921.801741,2472,0,1
2,Payment,1694006921.804227,2525,0,1
1,NewOrder,1694006921.806764,5842,0,1
1,NewOrder,1694006921.812622,4315,0,1
1,NewOrder,1694006921.816951,6570,0,1
2,Payment,1694006921.823537,2343,0,1
1,NewOrder,1694006921.825895,5252,0,1
3,OrderStatus,1694006921.831170,1331,0,1
2,Payment,1694006921.832515,2329,0,1
1,NewOrder,1694006921.834857,4513,0,1
2,Payment,1694006921.839385,2310,0,1
5,StockLevel,1694006921.841710,1517,0,1
1,NewOrder,1694006921.843241,4702,0,1
2,Payment,1694006921.847959,2252,0,1
1,NewOrder,1694006921.850225,5376,0,1
1,NewOrder,1694006921.855615,6112,0,1
3,OrderStatus,1694006921.861751,1657,0,1
1,NewOrder,1694006921.863427,5561,0,1
2,Payment,1694006921.869006,2142,0,1
1,NewOrder,1694006921.871164,5509,0,1
1,NewOrder,1694006921.876688,6793,0,1
1,NewOrder,1694006921.883498,4135,0,1
2,Payment,1694006921.887649,2440,0,1
1,NewOrder,1694006921.890105,4515,0,1
1,NewOrder,1694006921.894636,5578,0,1
2,Payment,1694006921.900230,2344,0,1
