Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,124.200,4.764,1.876,3.986,4.706,5.306,5.797,6.139,6.930,42.371,0.210
5,129.800,4.624,2.109,3.818,4.477,5.151,5.602,5.855,6.534,89.393,0.216
10,132.000,4.559,2.065,3.840,4.540,5.227,5.598,5.951,6.835,10.017,0.219
15,137.400,4.462,1.686,3.728,4.352,5.117,5.557,5.734,7.460,22.868,0.224
20,133.200,4.460,1.902,3.814,4.416,5.071,5.474,5.685,6.757,9.128,0.224
25,131.400,4.413,1.626,3.784,4.364,5.025,5.510,5.635,6.347,7.276,0.227
30,141.800,4.504,1.630,3.850,4.493,5.099,5.540,5.710,6.466,9.554,0.222
35,133.200,4.454,1.617,3.781,4.438,5.080,5.540,5.706,6.831,14.239,0.225
40,136.400,4.418,2.110,3.724,4.393,5.045,5.501,5.648,7.177,8.527,0.226
45,140.600,4.451,2.178,3.784,4.403,5.078,5.501,5.686,6.957,8.216,0.225
50,111.800,5.683,1.901,4.426,5.406,6.369,7.365,7.827,9.438,54.060,0.176
55,126.800,4.945,1.679,4.091,4.872,5.574,6.182,6.606,7.527,44.678,0.202
