Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,117.800,2.126,1.692,1.920,2.019,2.171,2.418,2.789,3.650,12.893,0.470
5,128.400,2.042,1.658,1.886,1.971,2.094,2.243,2.385,4.042,5.540,0.490
10,125.000,2.053,1.705,1.882,1.974,2.123,2.331,2.486,3.608,5.142,0.487
15,124.400,2.098,1.673,1.851,1.964,2.096,2.345,2.551,3.613,35.989,0.477
20,134.600,2.013,1.645,1.851,1.926,2.043,2.231,2.645,3.762,4.885,0.497
25,136.400,1.997,1.646,1.836,1.927,2.029,2.164,2.349,4.026,5.271,0.501
30,125.800,1.986,1.644,1.826,1.899,2.014,2.162,2.372,4.423,5.022,0.503
35,140.800,1.947,1.630,1.802,1.881,1.987,2.116,2.256,3.856,5.904,0.513
40,131.800,1.923,1.613,1.781,1.845,1.938,2.068,2.232,4.089,5.419,0.520
45,128.800,1.959,1.645,1.812,1.888,1.996,2.096,2.268,3.733,5.030,0.510
50,104.000,2.492,1.716,1.990,2.158,2.436,3.557,4.341,5.446,39.111,0.401
55,114.000,2.118,1.683,1.892,2.026,2.186,2.404,2.722,4.632,5.892,0.472
