Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,239,239.000,916,2252,3488,4194,5414,6570,10387,12893,17635
1,281,281.000,653,1999,3219,3544,4780,5533,6186,10727,12875
2,304,304.000,547,1933,2235,3281,4699,5589,5914,10280,10989
3,262,262.000,515,1942,2521,3806,4637,5544,9639,10890,64178
4,285,285.000,465,1970,3431,3509,4825,5398,5886,9977,10763
5,301,301.000,457,1948,2229,3316,4554,5699,6236,10643,11070
6,308,308.000,472,1929,2248,3245,4477,5637,6278,10773,11636
7,290,290.000,455,1919,3177,3472,4549,5477,9333,9975,11904
8,283,283.000,460,1897,2366,3497,4475,5267,5602,10206,89393
9,301,301.000,433,1911,3234,3317,4653,5349,5635,9603,10013
10,294,294.000,474,1909,3139,3400,4624,5427,6699,9864,10205
11,306,306.000,442,1897,3139,3275,4304,5367,5852,9846,10202
12,288,288.000,487,1969,3108,3465,4651,5738,6302,10886,11283
13,274,274.000,476,1954,3123,3641,5024,5731,9592,10160,10431
14,288,288.000,428,2005,3280,3467,4727,5517,6215,9914,10122
15,305,305.000,436,1983,2724,3270,4364,5448,5680,9553,9999
16,286,286.000,447,1982,2574,3496,4661,5687,9301,10179,10713
17,327,327.000,444,1867,2137,3053,4317,5192,5517,9512,9891
18,296,296.000,448,1884,3281,3376,4585,5462,6673,10050,10525
19,274,274.000,439,1892,3390,3642,4571,5576,9521,9881,35989
20,297,297.000,447,1907,2941,3372,4603,5476,6736,10020,11812
21,309,309.000,450,1896,2664,3231,4292,5163,5688,9669,10054
22,293,293.000,418,1879,3285,3407,4681,5434,5733,10078,10150
23,298,298.000,453,1872,2189,3350,4476,5438,8139,9964,15444
24,314,314.000,426,1912,2211,3184,4470,5234,5568,10026,10411
25,312,312.000,430,1886,3109,3215,4567,5267,5624,9729,9936
26,314,314.000,456,1878,2136,3177,4316,5282,5616,9686,12100
27,285,285.000,412,1865,2280,3520,4743,5559,9461,10125,12369
28,295,295.000,439,1879,2418,3366,4352,5656,9140,10023,10324
29,304,304.000,449,1914,2865,3298,4426,5249,5784,9841,11377
30,303,303.000,446,1875,2610,3286,4609,5315,5754,9619,10003
31,319,319.000,440,1843,2142,3133,4441,5334,5673,9875,10322
32,300,300.000,443,1869,3109,3329,4622,5471,5928,9756,10602
33,296,296.000,440,1882,3409,3379,4571,5243,5609,9956,16058
34,291,291.000,434,1876,3429,3439,4608,5481,7948,9594,9993
35,316,316.000,396,1844,2053,3157,4438,5456,7098,8696,11223
36,293,293.000,437,1865,3163,3417,4537,5237,5706,9620,46941
37,311,311.000,433,1884,2184,3207,4417,5512,6003,9331,9682
38,323,323.000,400,1810,2039,3095,4325,5352,5664,8640,9167
39,310,310.000,375,1802,2367,3222,4539,5459,8274,8706,14239
40,320,320.000,381,1831,2106,3118,4186,5340,5713,8868,11213
41,302,302.000,416,1842,3108,3334,4457,5442,7039,8965,9223
42,315,315.000,399,1790,2079,3147,4416,5353,6519,9057,9708
43,286,286.000,386,1850,3454,3506,4706,5553,7676,8771,9004
44,293,293.000,394,1813,3138,3398,4606,5518,8480,8990,11580
45,307,307.000,391,1859,2985,3255,4584,5414,5764,8886,9229
46,311,311.000,370,1827,3226,3217,4298,5301,5624,8744,9214
47,300,300.000,387,1866,3139,3332,4663,5615,8444,9016,10795
48,300,300.000,402,1891,3313,3329,4627,5500,5843,8848,9041
49,311,311.000,374,1844,2114,3216,4460,5350,6636,8973,9082
50,213,213.000,406,2176,4368,4706,6330,7925,9681,11503,54060
51,226,226.000,429,2144,3914,4398,5872,7525,9100,12031,52312
52,248,248.000,465,2158,3896,4043,5777,6979,7623,10669,10936
53,259,259.000,451,2062,3538,3859,5330,6551,7816,11068,11367
54,265,265.000,456,2011,2922,3769,5080,6085,6575,10673,39111
55,255,255.000,450,2079,3704,3907,5222,6437,7285,11780,12511
56,273,273.000,451,1991,3730,3664,5190,6008,6519,9815,10391
57,259,259.000,451,2073,3583,3875,5088,6283,9982,10475,11672
58,288,288.000,445,1897,2485,3456,4722,5768,7792,10306,10817
59,287,287.000,432,1900,2274,3475,4779,5797,6152,10385,44678
