Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.600,1.252,0.859,1.107,1.264,1.350,1.413,1.445,2.121,2.121,0.799
5,12.000,1.128,0.753,1.052,1.125,1.215,1.283,1.367,1.479,1.479,0.887
10,11.000,1.235,0.897,1.144,1.222,1.360,1.394,1.471,1.544,1.544,0.810
15,10.800,1.254,1.016,1.138,1.253,1.372,1.424,1.495,1.577,1.577,0.797
20,12.200,1.276,0.863,1.218,1.266,1.360,1.415,1.488,1.523,1.523,0.784
25,13.800,1.267,0.846,1.186,1.271,1.350,1.412,1.478,1.662,1.662,0.789
30,11.400,1.264,0.994,1.177,1.268,1.364,1.435,1.449,1.475,1.475,0.791
35,10.600,1.211,0.839,1.113,1.220,1.293,1.437,1.454,1.593,1.593,0.826
40,12.400,1.232,0.800,1.157,1.254,1.312,1.397,1.440,1.495,1.495,0.812
45,12.000,1.247,1.013,1.164,1.244,1.335,1.399,1.465,1.534,1.534,0.802
50,9.800,1.294,0.973,1.192,1.279,1.378,1.466,1.587,1.933,1.933,0.773
55,14.800,1.219,0.929,1.125,1.214,1.324,1.380,1.393,1.460,1.460,0.820
