Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,250.000,3.996,0.435,2.549,3.438,5.175,6.289,7.080,11.545,23.116,0.250
5,256.600,3.891,0.417,2.208,3.304,4.949,6.181,6.883,11.120,42.472,0.257
10,275.800,3.620,0.438,1.925,3.256,4.736,5.746,6.713,10.681,97.518,0.276
15,298.600,3.346,0.401,1.884,2.809,4.689,5.578,6.323,9.323,10.062,0.299
20,303.000,3.297,0.376,1.886,2.263,4.531,5.487,6.091,9.355,54.942,0.303
25,302.000,3.307,0.390,1.874,2.256,4.629,5.591,6.020,9.198,12.102,0.302
30,291.400,3.430,0.396,1.873,3.272,4.676,5.595,8.581,9.114,12.673,0.292
35,300.000,3.330,0.396,1.874,2.328,4.682,5.525,6.151,9.065,53.575,0.300
40,304.400,3.285,0.378,1.870,2.311,4.558,5.522,6.556,9.048,12.293,0.304
45,292.600,3.417,0.381,1.879,3.298,4.635,5.554,7.072,9.097,10.427,0.293
50,241.400,4.134,0.371,1.847,3.259,4.732,5.688,8.715,40.769,65.420,0.242
55,307.600,3.246,0.377,1.823,2.292,4.591,5.391,6.382,8.996,38.728,0.308
