Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.400,2.732,1.589,1.987,2.683,3.016,3.446,6.380,6.380,6.380,0.366
5,4.000,2.016,1.158,1.818,2.024,2.226,2.802,3.338,3.338,3.338,0.496
10,3.400,2.104,1.398,1.865,2.233,2.384,2.693,2.743,2.743,2.743,0.475
15,3.000,2.242,1.296,1.752,2.167,2.719,3.028,3.817,3.817,3.817,0.446
20,4.600,1.982,1.185,1.306,1.545,2.212,2.705,2.790,7.362,7.362,0.505
25,3.400,1.795,0.989,1.207,1.480,2.453,3.243,3.369,3.369,3.369,0.557
30,6.400,1.476,1.029,1.130,1.261,1.622,1.979,3.132,3.785,3.785,0.678
35,5.400,1.255,0.914,1.050,1.174,1.343,1.869,1.932,2.005,2.005,0.797
40,5.400,1.462,1.068,1.140,1.307,1.760,2.010,2.223,2.373,2.373,0.684
45,6.000,1.503,0.892,1.181,1.380,1.734,2.499,2.554,2.672,2.672,0.665
50,4.600,1.601,1.064,1.230,1.496,1.838,2.237,2.264,2.862,2.862,0.625
55,6.400,1.438,1.094,1.221,1.380,1.530,1.778,2.087,2.525,2.525,0.696
