Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,44.800,6.980,3.122,4.679,5.309,6.709,8.509,10.192,30.965,185.203,0.143
5,47.200,5.546,3.224,4.470,4.965,5.872,7.483,9.234,13.275,16.095,0.180
10,47.800,5.275,3.443,4.458,5.094,5.702,6.633,7.958,10.387,11.174,0.190
15,42.800,5.775,3.419,4.842,5.459,6.393,7.792,8.662,10.320,10.836,0.173
20,48.400,5.510,3.639,4.363,5.002,6.000,7.679,9.214,11.681,13.146,0.181
25,49.400,4.763,3.294,3.939,4.432,5.106,6.403,7.189,10.684,12.993,0.210
30,48.400,4.734,3.264,3.930,4.360,5.061,6.049,7.164,10.252,15.247,0.211
35,45.800,4.657,3.329,3.810,4.288,4.941,6.289,7.314,10.486,11.086,0.215
40,48.600,4.634,3.016,3.768,4.235,4.979,6.251,7.290,10.018,12.038,0.216
45,42.400,4.619,3.398,3.905,4.291,4.988,6.018,6.868,8.813,9.517,0.216
50,48.000,4.976,3.451,4.080,4.469,5.139,6.947,7.751,12.530,13.211,0.201
55,54.600,4.484,3.307,3.841,4.209,4.796,5.493,6.391,10.030,11.139,0.223
