Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,1792,5625,7882,9919,13969,17599,18704,24665,29946
1,107,107.000,1616,4704,8073,9332,11687,15313,23134,32236,33284
2,95,95.000,1463,4932,7434,10492,13394,18661,27258,54803,54803
3,104,104.000,1431,4856,8220,9588,13004,15842,21383,27184,34590
4,90,90.000,1232,4492,8010,11135,12763,16312,22658,185203,185203
5,112,112.000,1305,4768,8376,8897,12509,15174,16095,25045,26688
6,97,97.000,1468,5621,9285,10308,12897,16832,25097,31341,31341
7,117,117.000,1456,4446,6268,8570,12007,16830,19409,25023,26615
8,106,106.000,1158,4647,6971,9389,13317,17810,22383,28246,28664
9,105,105.000,1366,4869,7744,9570,13535,17086,19596,24588,37467
10,108,108.000,1365,4895,8061,9226,11890,16956,21261,26934,27485
11,103,103.000,1436,4801,7473,9682,13343,16400,21176,32878,36231
12,107,107.000,1435,4600,8018,9414,13244,16454,23230,26880,30567
13,118,118.000,1398,4616,6038,8506,11432,15949,18161,26302,31758
14,98,98.000,1455,5094,6633,10098,13580,20387,28575,36590,36590
15,91,91.000,1851,5439,9447,10948,14919,18372,20406,38402,38402
16,86,86.000,1357,5531,9848,11680,14488,20137,32981,40027,40027
17,104,104.000,1618,5095,7124,9662,12148,18515,24033,33405,33929
18,109,109.000,1296,4936,8388,9179,13486,16232,18455,21009,30269
19,92,92.000,2144,5282,9721,10894,14025,19558,30693,33737,33737
20,98,98.000,1602,5673,7255,10086,12914,19200,23688,33202,33202
21,110,110.000,1185,4258,7001,9078,12329,16840,19101,32505,32816
22,100,100.000,1545,4891,9896,10021,13755,17440,19795,31287,31287
23,122,122.000,1221,4287,5584,8199,10808,15659,18544,29571,33898
24,108,108.000,1280,4519,7160,9242,13619,18053,22678,25780,35545
25,117,117.000,989,4139,6789,8543,12337,16259,17922,25979,26102
26,107,107.000,1147,4449,7578,9317,13037,16444,21382,27670,28838
27,112,112.000,1071,4597,6557,8943,11112,19062,25344,27562,29384
28,109,109.000,1480,3949,8876,9185,12525,15913,22920,25118,26433
29,119,119.000,999,4164,7406,8345,11491,16012,18400,21705,23094
30,118,118.000,1072,4162,6051,8622,11968,16338,21732,28692,29188
31,114,114.000,1087,4187,7473,8731,12424,16480,21518,25279,33980
32,109,109.000,1094,4150,7066,9209,11096,20797,26850,29793,29908
33,114,114.000,1029,3884,5958,8713,12122,18086,23540,30884,34610
34,116,116.000,1097,4384,8022,8510,11670,14620,16948,22756,24576
35,110,110.000,1089,4373,8853,9119,12295,16138,20589,26649,31094
36,125,125.000,1050,4094,6289,8015,11231,14019,16591,25539,30687
37,118,118.000,914,3879,5614,8455,12145,17520,22884,24627,25798
38,122,122.000,954,3828,7646,8223,12297,13969,19574,25567,26711
39,111,111.000,969,3835,7191,8949,12102,15001,20812,28948,71101
40,123,123.000,1158,3924,6224,8173,12038,14832,16953,21462,42373
41,108,108.000,1068,4418,8394,9276,13204,16004,19665,31448,34494
42,107,107.000,1393,4388,8564,9315,12156,16027,20053,24890,28262
43,115,115.000,1117,4183,7159,8615,12649,15349,19254,25022,25313
44,130,130.000,1076,3763,5320,7690,10733,15456,18169,24149,27797
45,110,110.000,1153,4016,8143,9179,12421,18747,23679,27220,28725
46,108,108.000,1546,4250,8485,9188,13039,15673,18560,29571,30431
47,111,111.000,1131,4000,8014,9034,12813,16953,18124,31058,31639
48,107,107.000,1135,4524,7316,9282,13452,16956,23898,28779,29562
49,115,115.000,892,3897,7366,8786,11601,15868,23122,33462,34582
50,122,122.000,1064,4045,5764,8128,12058,14365,16035,23785,24679
51,116,116.000,1202,4580,8366,8641,12461,16400,18109,20615,27361
52,114,114.000,1384,4280,8401,8735,12448,15606,16854,25347,26698
53,105,105.000,1342,4705,10284,9577,13214,15107,18760,27538,27666
54,118,118.000,1120,4085,7789,8404,12220,14128,17001,22618,23219
55,124,124.000,1142,4051,5415,8039,11453,13592,18964,32023,33365
56,127,127.000,1151,3808,5260,8073,11233,15652,17543,28442,28483
57,124,124.000,1094,4156,5485,7847,11079,13283,22563,26350,30733
58,118,118.000,1158,3996,7332,8541,12192,15052,19294,25165,34029
59,112,112.000,1142,4143,8034,8823,12943,14883,17509,27772,28984
