Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,45.000,13.416,6.145,10.407,12.884,15.584,17.460,18.200,25.997,60.366,0.075
5,49.400,12.554,4.524,10.125,11.930,14.468,16.730,18.831,25.881,47.531,0.080
10,53.000,12.075,6.019,9.791,11.796,14.023,16.406,17.491,19.599,26.198,0.083
15,54.800,11.925,6.442,9.533,11.587,13.648,15.876,17.194,23.099,24.044,0.084
20,59.800,11.228,4.211,9.007,10.995,12.828,14.891,17.331,21.940,23.890,0.089
25,51.000,12.790,6.271,10.021,12.515,15.090,17.533,19.352,24.023,27.660,0.078
30,54.400,11.341,5.234,9.055,10.864,13.301,15.806,17.476,20.529,24.927,0.088
35,44.200,14.093,6.062,11.302,13.362,15.817,17.581,19.600,24.196,76.193,0.071
40,46.800,13.088,6.744,10.463,13.032,15.374,17.390,19.366,22.168,22.818,0.076
45,49.000,12.329,6.312,10.076,11.812,14.029,16.379,18.062,20.163,54.101,0.081
50,53.200,12.322,6.484,10.404,12.147,14.017,15.962,17.532,19.553,20.739,0.081
55,48.000,12.099,5.962,9.377,11.532,13.706,16.516,18.339,22.560,66.635,0.083
