Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.200,1.966,1.434,1.579,1.874,2.302,2.604,2.704,3.278,3.278,0.509
5,4.200,1.711,1.212,1.564,1.677,1.760,1.969,2.402,2.575,2.575,0.584
10,4.400,1.723,1.218,1.554,1.724,1.889,2.068,2.108,2.461,2.461,0.580
15,4.400,1.842,1.201,1.581,1.714,1.885,2.265,2.766,3.942,3.942,0.543
20,4.400,1.787,1.349,1.557,1.683,1.830,2.274,2.675,2.802,2.802,0.560
25,3.800,1.900,1.459,1.634,1.820,2.113,2.535,2.585,2.585,2.585,0.526
30,5.000,1.832,1.366,1.585,1.693,2.162,2.292,2.563,3.088,3.088,0.546
35,4.200,1.991,1.503,1.733,1.859,2.100,2.599,2.610,2.905,2.905,0.502
40,3.800,1.737,1.427,1.525,1.643,1.931,2.135,2.450,2.450,2.450,0.576
45,3.800,1.772,1.399,1.637,1.749,1.867,1.954,2.414,2.414,2.414,0.564
50,3.200,1.796,1.417,1.582,1.822,1.857,2.283,2.497,2.497,2.497,0.557
55,4.600,1.829,1.171,1.641,1.776,2.087,2.511,2.537,2.543,2.543,0.547
