Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.800,29.858,25.430,28.683,29.635,30.586,33.493,36.624,36.624,36.624,0.033
5,6.800,26.367,20.845,23.323,25.301,30.199,32.629,32.983,35.632,35.632,0.038
10,5.200,25.940,21.351,24.218,26.033,27.341,28.848,32.037,32.192,32.192,0.039
15,5.600,27.416,22.394,24.430,27.445,30.086,33.475,34.884,35.979,35.979,0.036
20,4.800,27.551,21.063,25.340,27.448,29.409,32.394,33.269,33.968,33.968,0.036
25,5.000,25.295,22.392,23.863,25.267,26.601,27.832,28.331,29.244,29.244,0.040
30,4.800,26.281,21.912,23.917,25.500,28.908,30.302,33.783,35.030,35.030,0.038
35,4.800,27.849,23.145,24.731,27.922,30.823,32.420,34.434,36.862,36.862,0.036
40,4.600,26.211,21.466,23.234,25.719,27.172,32.968,33.339,34.061,34.061,0.038
45,4.200,26.171,20.234,24.085,25.479,28.307,30.326,30.836,35.182,35.182,0.038
50,4.400,25.813,20.233,23.353,25.128,27.973,30.238,31.629,32.891,32.891,0.039
55,4.000,30.675,21.597,27.594,29.081,30.974,35.659,72.223,72.223,72.223,0.033
