Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,114.000,8.776,1.241,4.297,6.014,12.073,15.821,18.919,30.586,90.458,0.114
5,114.000,8.760,1.021,4.077,6.988,12.090,16.157,22.673,31.802,35.632,0.114
10,120.600,8.295,1.000,4.054,6.555,11.679,15.196,19.736,27.341,32.192,0.121
15,107.400,9.287,0.993,4.318,7.625,12.664,16.817,23.673,30.177,45.351,0.108
20,114.600,8.729,0.889,4.243,7.263,12.055,15.443,19.551,29.409,33.968,0.115
25,117.400,8.505,0.911,4.125,7.743,12.001,14.813,18.721,26.620,29.244,0.118
30,120.400,8.313,0.972,4.078,5.932,11.494,15.327,19.744,28.169,35.030,0.120
35,115.800,8.624,0.972,4.230,7.625,11.810,15.165,18.599,30.823,36.862,0.116
40,115.400,8.666,0.901,4.221,7.576,12.013,15.565,19.694,27.172,34.061,0.115
45,118.400,8.434,0.980,4.112,6.658,11.925,15.071,18.321,28.307,35.182,0.119
50,114.000,8.774,0.972,4.219,7.879,11.778,15.235,18.761,27.973,32.891,0.114
55,115.000,8.664,1.211,4.158,6.359,12.065,15.365,17.291,30.115,72.223,0.115
