Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.200,12.137,10.312,10.737,11.114,11.408,12.299,13.363,59.946,59.946,0.082
5,11.600,10.664,9.921,10.357,10.555,10.859,11.109,11.548,13.944,13.944,0.094
10,11.800,10.682,9.865,10.375,10.562,10.854,11.281,12.242,12.909,12.909,0.094
15,10.400,10.662,10.105,10.387,10.503,10.783,11.161,11.536,13.799,13.799,0.094
20,10.800,10.735,9.909,10.461,10.681,10.870,11.104,11.399,13.372,13.372,0.093
25,13.400,10.910,9.989,10.462,10.666,11.012,11.437,13.277,14.724,14.724,0.092
30,10.000,10.541,8.112,10.367,10.745,11.160,12.108,12.266,13.200,13.200,0.095
35,11.800,9.137,8.320,8.623,8.872,9.367,9.930,10.876,12.424,12.424,0.109
40,9.600,9.233,8.394,8.715,8.981,9.283,10.123,11.663,12.718,12.718,0.108
45,11.800,9.186,8.295,8.726,9.074,9.393,9.708,10.723,13.276,13.276,0.109
50,13.400,8.991,8.318,8.605,8.752,8.998,9.623,10.919,11.994,11.994,0.111
55,14.000,9.072,8.344,8.667,8.914,9.253,9.862,10.477,12.417,12.417,0.110
