Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.000,0.763,0.430,0.573,0.641,0.802,1.335,1.613,1.761,1.761,1.310
5,10.000,0.496,0.413,0.469,0.486,0.510,0.572,0.584,0.739,0.739,2.017
10,11.600,0.474,0.390,0.451,0.468,0.494,0.520,0.542,0.619,0.619,2.112
15,11.000,0.467,0.402,0.440,0.456,0.481,0.507,0.537,0.656,0.656,2.143
20,12.200,0.454,0.374,0.421,0.443,0.475,0.486,0.516,0.794,0.794,2.205
25,13.200,0.440,0.390,0.419,0.440,0.456,0.476,0.481,0.522,0.522,2.275
30,11.800,0.483,0.371,0.428,0.444,0.489,0.563,0.632,1.472,1.472,2.071
35,10.600,0.455,0.398,0.421,0.435,0.483,0.522,0.551,0.587,0.587,2.199
40,11.600,0.446,0.389,0.425,0.440,0.459,0.487,0.503,0.554,0.554,2.243
45,10.600,0.446,0.378,0.415,0.428,0.456,0.484,0.552,0.901,0.901,2.241
50,8.200,0.437,0.381,0.409,0.425,0.445,0.491,0.536,0.619,0.619,2.289
55,12.600,0.431,0.349,0.410,0.425,0.442,0.478,0.488,0.621,0.621,2.321
