Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,102.600,2.142,1.740,1.915,2.019,2.165,2.378,2.770,4.210,11.039,0.467
5,119.200,1.985,1.648,1.813,1.891,2.007,2.135,2.310,4.705,7.599,0.504
10,123.400,1.972,1.670,1.811,1.890,1.996,2.141,2.285,3.801,9.526,0.507
15,122.200,1.959,1.661,1.811,1.884,2.016,2.131,2.293,3.793,4.732,0.510
20,113.200,2.005,1.630,1.831,1.903,2.000,2.156,2.393,4.477,9.519,0.499
25,121.600,1.945,1.655,1.798,1.871,1.979,2.133,2.379,3.421,5.075,0.514
30,128.000,1.982,1.650,1.805,1.892,2.012,2.182,2.493,3.934,4.955,0.505
35,124.200,1.988,1.664,1.821,1.897,2.012,2.196,2.455,3.646,5.257,0.503
40,121.400,2.015,1.621,1.833,1.907,2.018,2.189,2.484,4.726,8.182,0.496
45,116.000,2.008,1.643,1.829,1.907,2.025,2.219,2.443,4.731,5.748,0.498
50,126.000,2.012,1.636,1.814,1.900,2.005,2.180,2.544,4.994,5.966,0.497
55,129.200,1.963,1.620,1.811,1.884,1.990,2.149,2.362,3.746,4.472,0.509
