Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,214,214.000,872,2245,3970,4658,6055,7540,11114,14669,43920
1,253,253.000,504,2006,2436,3939,5262,6478,7986,11277,59946
2,264,264.000,560,1969,3641,3808,5433,6315,7502,11255,11401
3,271,271.000,528,1903,2212,3657,5102,6083,10567,11408,11607
4,269,269.000,430,1957,3510,3712,5072,6244,6875,11517,12366
5,270,270.000,481,1902,2285,3695,5100,6380,10401,11505,13944
6,244,244.000,448,1879,2252,4105,5113,6325,10340,11078,130675
7,278,278.000,452,1850,2595,3582,5010,6068,6799,10673,10846
8,277,277.000,413,1861,3480,3603,4978,6038,6689,10517,11045
9,301,301.000,434,1826,2203,3317,4678,5711,6505,10448,11626
10,287,287.000,451,1863,2234,3496,4994,5875,6633,10523,11117
11,308,308.000,390,1836,2084,3243,4491,5635,6129,10660,10854
12,288,288.000,428,1843,2169,3460,4782,6045,6825,11201,11482
13,280,280.000,434,1864,3105,3574,4946,6113,9526,11167,12242
14,266,266.000,417,1886,3541,3735,5065,6327,10215,10643,12909
15,287,287.000,433,1850,2361,3477,4820,6036,6665,10466,13799
16,262,262.000,414,1847,3382,3823,5210,6137,10253,10701,43222
17,297,297.000,402,1828,2312,3355,4735,5788,6614,10759,11161
18,290,290.000,433,1852,2197,3446,4923,5788,6671,10988,11536
19,286,286.000,424,1887,2570,3483,4756,6157,6891,10892,11331
20,278,278.000,401,1896,3286,3592,4921,6028,6988,10838,13372
21,276,276.000,415,1885,3466,3626,5113,5895,6498,10605,10931
22,274,274.000,374,1903,3618,3666,5103,6126,6800,10855,12680
23,265,265.000,396,1869,3387,3755,5371,6673,9719,11104,11353
24,274,274.000,401,1870,3383,3642,5127,6027,6999,11029,11399
25,292,292.000,398,1797,2227,3409,4743,6092,6796,11382,13351
26,295,295.000,390,1797,2047,3390,4933,6181,6901,10666,14724
27,279,279.000,403,1843,2846,3584,5010,6265,6940,11030,11266
28,270,270.000,397,1839,3365,3710,5163,6488,10351,11012,11609
29,266,266.000,409,1870,2837,3758,5060,6689,10421,11437,14313
30,292,292.000,386,1854,2127,3412,4758,6211,7037,11173,12266
31,281,281.000,409,1874,2187,3548,5117,6262,6826,11160,13200
32,264,264.000,371,1875,3589,3798,5247,6410,7545,11284,18044
33,282,282.000,427,1865,2431,3544,4864,6174,7048,11984,14818
34,282,282.000,429,1827,2646,3544,4771,5594,8112,11459,41011
35,290,290.000,402,1858,3051,3434,4629,5562,8204,9755,12424
36,297,297.000,398,1880,2582,3371,4578,5536,6447,9162,11913
37,295,295.000,416,1883,3112,3382,4559,5584,6727,9930,11313
38,305,305.000,407,1869,3102,3277,4444,5427,5922,9238,10104
39,286,286.000,409,1892,3497,3487,4713,5611,6931,9563,9685
40,295,295.000,389,1873,3288,3383,4529,5473,6540,9283,9665
41,304,304.000,406,1880,3333,3295,4447,5540,5827,8851,11663
42,303,303.000,414,1863,3160,3293,4506,5635,6486,9052,9941
43,298,298.000,403,1898,3323,3345,4522,5653,6194,9201,12718
44,292,292.000,408,1886,3284,3416,4676,5552,6568,9713,11910
45,265,265.000,411,1928,3745,3780,5017,5867,8765,9659,10580
46,278,278.000,407,1885,3466,3587,4821,5737,8674,9562,11854
47,300,300.000,378,1892,3158,3328,4569,5407,6076,9510,13276
48,298,298.000,401,1927,3200,3356,4538,5464,6575,9156,9657
49,318,318.000,388,1836,2096,3138,4353,5443,6006,8892,9248
50,301,301.000,398,1868,2388,3318,4439,5700,8318,8860,9623
51,283,283.000,404,1883,3142,3542,4681,5644,6218,11624,41617
52,284,284.000,389,1890,3332,3505,4588,5539,8547,9373,11994
53,293,293.000,411,1866,3227,3412,4743,5538,5966,9148,9318
54,285,285.000,381,1898,3163,3503,4703,5601,8473,9835,11177
55,302,302.000,395,1866,2265,3311,4610,5717,7380,9044,11671
56,301,301.000,377,1853,2698,3320,4717,5572,6409,9295,10477
57,291,291.000,393,1835,2107,3425,4459,5821,8777,9862,10098
58,307,307.000,349,1840,3259,3255,4458,5414,5789,8914,10871
59,301,301.000,406,1850,2825,3310,4670,5471,6310,9117,12417
