Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1694002482.744281,15014,0,1
2,Payment,1694002482.759406,5413,0,1
1,NewOrder,1694002482.764844,6986,0,1
3,OrderStatus,1694002482.771860,2902,0,1
4,Delivery,1694002482.774785,20122,0,1
4,Delivery,1694002482.794937,15132,0,1
1,NewOrder,1694002482.810098,9532,0,1
2,Payment,1694002482.819659,5198,0,1
1,NewOrder,1694002482.824886,10515,0,1
1,NewOrder,1694002482.835430,7550,0,1
1,NewOrder,1694002482.843007,7055,0,1
3,OrderStatus,1694002482.850088,1659,0,1
1,NewOrder,1694002482.851767,6503,0,1
1,NewOrder,1694002482.858295,5313,0,1
2,Payment,1694002482.863629,3005,0,1
1,NewOrder,1694002482.866656,6020,0,1
2,Payment,1694002482.872699,4178,0,1
5,StockLevel,1694002482.876901,2147,0,1
1,NewOrder,1694002482.879069,7630,0,1
2,Payment,1694002482.886724,4874,0,1
1,NewOrder,1694002482.891621,8428,0,1
1,NewOrder,1694002482.900077,6653,0,1
1,NewOrder,1694002482.906754,7501,0,1
2,Payment,1694002482.914280,4184,0,1
2,Payment,1694002482.918487,12180,0,1
1,NewOrder,1694002482.930694,5187,0,1
2,Payment,1694002482.935905,4275,0,1
2,Payment,1694002482.940204,2552,0,1
2,Payment,1694002482.942778,2455,0,1
2,Payment,1694002482.945252,2832,0,1
2,Payment,1694002482.948102,2569,0,1
2,Payment,1694002482.950687,3913,0,1
1,NewOrder,1694002482.954619,5063,0,1
2,Payment,1694002482.959703,3600,0,1
2,Payment,1694002482.963321,3053,0,1
2,Payment,1694002482.966391,2332,0,1
1,NewOrder,1694002482.968738,7137,0,1
2,Payment,1694002482.975896,3621,0,1
2,Payment,1694002482.979538,3562,0,1
5,StockLevel,1694002482.983123,1525,0,1
1,NewOrder,1694002482.984665,7679,0,1
1,NewOrder,1694002482.992371,7212,0,1
4,Delivery,1694002482.999611,14245,0,1
2,Payment,1694002483.013897,3534,0,1
1,NewOrder,1694002483.017457,6345,0,1
1,NewOrder,1694002483.023830,7482,0,1
2,Payment,1694002483.031341,2894,0,1
1,NewOrder,1694002483.034260,4950,0,1
2,Payment,1694002483.039239,3705,0,1
1,NewOrder,1694002483.042972,7825,0,1
1,NewOrder,1694002483.050824,11488,0,1
2,Payment,1694002483.062346,4237,0,1
1,NewOrder,1694002483.066609,7052,0,1
2,Payment,1694002483.073692,3456,0,1
2,Payment,1694002483.077172,2414,0,1
1,NewOrder,1694002483.079610,7669,0,1
1,NewOrder,1694002483.087304,5305,0,1
1,NewOrder,1694002483.092638,7634,0,1
1,NewOrder,1694002483.100300,7916,0,1
2,Payment,1694002483.108244,3867,0,1
5,StockLevel,1694002483.112136,1369,0,1
4,Delivery,1694002483.113522,13650,0,1
1,NewOrder,1694002483.127209,5464,0,1
5,StockLevel,1694002483.132701,1506,0,1
1,NewOrder,1694002483.134238,5341,0,1
1,NewOrder,1694002483.139607,7261,0,1
1,NewOrder,1694002483.146901,5752,0,1
2,Payment,1694002483.152684,5592,0,1
2,Payment,1694002483.158310,4068,0,1
2,Payment,1694002483.162407,3528,0,1
1,NewOrder,1694002483.165963,7088,0,1
4,Delivery,1694002483.173083,13035,0,1
2,Payment,1694002483.186150,2344,0,1
2,Payment,1694002483.188524,2292,0,1
2,Payment,1694002483.190842,3418,0,1
1,NewOrder,1694002483.194288,5749,0,1
4,Delivery,1694002483.200085,15604,0,1
1,NewOrder,1694002483.215725,4488,0,1
2,Payment,1694002483.220241,3893,0,1
1,NewOrder,1694002483.224166,6140,0,1
1,NewOrder,1694002483.230339,5517,0,1
2,Payment,1694002483.235887,4546,0,1
1,NewOrder,1694002483.240464,7901,0,1
2,Payment,1694002483.248397,3560,0,1
1,NewOrder,1694002483.251984,6293,0,1
4,Delivery,1694002483.258308,12687,0,1
1,NewOrder,1694002483.271026,5868,0,1
5,StockLevel,1694002483.276924,1449,0,1
2,Payment,1694002483.278396,3771,0,1
2,Payment,1694002483.282190,2035,0,1
2,Payment,1694002483.284245,3185,0,1
1,NewOrder,1694002483.287452,5816,0,1
1,NewOrder,1694002483.293290,4995,0,1
1,NewOrder,1694002483.298324,4196,0,1
1,NewOrder,1694002483.302553,7755,0,1
2,Payment,1694002483.310357,2756,0,1
2,Payment,1694002483.313147,4290,0,1
2,Payment,1694002483.317521,3692,0,1
2,Payment,1694002483.321240,3811,0,1
2,Payment,1694002483.325077,3219,0,1
1,NewOrder,1694002483.328324,4388,0,1
1,NewOrder,1694002483.332742,7432,0,1
1,NewOrder,1694002483.340200,5971,0,1
1,NewOrder,1694002483.346201,4348,0,1
2,Payment,1694002483.350576,3330,0,1
1,NewOrder,1694002483.353935,6666,0,1
2,Payment,1694002483.360643,3687,0,1
2,Payment,1694002483.365120,3834,0,1
2,Payment,1694002483.368977,2226,0,1
5,StockLevel,1694002483.371222,1394,0,1
1,NewOrder,1694002483.372632,5965,0,1
2,Payment,1694002483.378620,2420,0,1
2,Payment,1694002483.381058,2463,0,1
1,NewOrder,1694002483.383539,4871,0,1
1,NewOrder,1694002483.388431,4584,0,1
5,StockLevel,1694002483.393034,1140,0,1
2,Payment,1694002483.394186,2386,0,1
2,Payment,1694002483.396585,3014,0,1
2,Payment,1694002483.399613,3167,0,1
2,Payment,1694002483.402795,2424,0,1
2,Payment,1694002483.405235,2152,0,1
1,NewOrder,1694002483.407402,6261,0,1
1,NewOrder,1694002483.413683,5133,0,1
3,OrderStatus,1694002483.418834,2393,0,1
1,NewOrder,1694002483.421246,5026,0,1
1,NewOrder,1694002483.426307,6134,0,1
4,Delivery,1694002483.432461,11496,0,1
5,StockLevel,1694002483.444005,1322,0,1
2,Payment,1694002483.445355,2392,0,1
2,Payment,1694002483.447773,6099,0,1
1,NewOrder,1694002483.453895,6177,0,1
2,Payment,1694002483.460094,3302,0,1
4,Delivery,1694002483.463415,12738,0,1
1,NewOrder,1694002483.476177,3968,0,1
4,Delivery,1694002483.480163,11172,0,1
1,NewOrder,1694002483.491360,6280,0,1
2,Payment,1694002483.497663,3689,0,1
1,NewOrder,1694002483.501375,4757,0,1
2,Payment,1694002483.506155,3272,0,1
2,Payment,1694002483.509448,2270,0,1
2,Payment,1694002483.511759,3660,0,1
2,Payment,1694002483.515442,2062,0,1
1,NewOrder,1694002483.517524,5951,0,1
2,Payment,1694002483.523500,2629,0,1
1,NewOrder,1694002483.526151,5297,0,1
3,OrderStatus,1694002483.531471,2979,0,1
1,NewOrder,1694002483.534475,7604,0,1
2,Payment,1694002483.542106,3408,0,1
2,Payment,1694002483.545536,2147,0,1
2,Payment,1694002483.547705,2163,0,1
1,NewOrder,1694002483.549887,4023,0,1
2,Payment,1694002483.553933,3814,0,1
1,NewOrder,1694002483.557770,5832,0,1
2,Payment,1694002483.563628,2215,0,1
1,NewOrder,1694002483.565867,5691,0,1
1,NewOrder,1694002483.571584,7991,0,1
1,NewOrder,1694002483.579600,5225,0,1
3,OrderStatus,1694002483.584847,1470,0,1
1,NewOrder,1694002483.586338,4673,0,1
1,NewOrder,1694002483.591033,4345,0,1
2,Payment,1694002483.595400,3373,0,1
2,Payment,1694002483.598792,2354,0,1
3,OrderStatus,1694002483.601161,1573,0,1
1,NewOrder,1694002483.602750,4580,0,1
1,NewOrder,1694002483.607354,5167,0,1
2,Payment,1694002483.612544,3212,0,1
1,NewOrder,1694002483.615773,4786,0,1
2,Payment,1694002483.620578,3133,0,1
1,NewOrder,1694002483.623725,6845,0,1
4,Delivery,1694002483.630590,11887,0,1
1,NewOrder,1694002483.642504,5386,0,1
1,NewOrder,1694002483.647920,6847,0,1
2,Payment,1694002483.654797,3317,0,1
3,OrderStatus,1694002483.658140,2739,0,1
1,NewOrder,1694002483.660906,8943,0,1
1,NewOrder,1694002483.669876,8409,0,1
2,Payment,1694002483.678317,2385,0,1
2,Payment,1694002483.680730,3256,0,1
2,Payment,1694002483.684006,1990,0,1
2,Payment,1694002483.686013,2393,0,1
1,NewOrder,1694002483.688424,3790,0,1
2,Payment,1694002483.692236,3154,0,1
4,Delivery,1694002483.695413,11639,0,1
1,NewOrder,1694002483.707078,5067,0,1
1,NewOrder,1694002483.712167,6808,0,1
5,StockLevel,1694002483.718998,1181,0,1
1,NewOrder,1694002483.720189,3489,0,1
2,Payment,1694002483.723688,3201,0,1
1,NewOrder,1694002483.726900,4530,0,1
2,Payment,1694002483.731446,3183,0,1
4,Delivery,1694002483.734647,13479,0,1
2,Payment,1694002483.748150,2198,0,1
1,NewOrder,1694002483.750361,6710,0,1
2,Payment,1694002483.757092,2238,0,1
2,Payment,1694002483.759347,3021,0,1
2,Payment,1694002483.762381,4624,0,1
3,OrderStatus,1694002483.767021,1821,0,1
2,Payment,1694002483.768854,3033,0,1
1,NewOrder,1694002483.771900,5318,0,1
2,Payment,1694002483.777233,2894,0,1
1,NewOrder,1694002483.780137,4726,0,1
1,NewOrder,1694002483.784876,6149,0,1
2,Payment,1694002483.791040,2893,0,1
2,Payment,1694002483.793943,2142,0,1
5,StockLevel,1694002483.796095,1450,0,1
2,Payment,1694002483.797554,2806,0,1
1,NewOrder,1694002483.800370,5176,0,1
1,NewOrder,1694002483.805559,5375,0,1
1,NewOrder,1694002483.810954,5219,0,1
2,Payment,1694002483.816193,3343,0,1
1,NewOrder,1694002483.819548,6261,0,1
2,Payment,1694002483.825825,3075,0,1
2,Payment,1694002483.828912,3157,0,1
2,Payment,1694002483.832087,3026,0,1
1,NewOrder,1694002483.835128,5561,0,1
1,NewOrder,1694002483.840702,5224,0,1
2,Payment,1694002483.845940,2378,0,1
2,Payment,1694002483.848332,3477,0,1
