Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,107.600,5.396,1.859,4.376,5.163,6.034,6.986,7.468,9.532,44.055,0.185
5,111.200,5.074,1.958,4.216,4.998,5.854,6.431,6.834,8.644,9.726,0.197
10,111.200,5.080,2.210,4.186,5.037,5.814,6.458,6.820,7.666,18.350,0.197
15,117.200,5.083,2.183,4.092,4.922,5.749,6.574,6.957,9.065,40.394,0.197
20,135.200,4.563,2.121,3.809,4.515,5.186,5.664,5.915,8.087,13.017,0.219
25,133.800,4.572,1.912,3.835,4.505,5.193,5.676,5.970,7.340,12.565,0.219
30,129.400,4.778,1.860,3.858,4.672,5.301,5.775,6.322,8.194,49.704,0.209
35,137.000,4.555,2.224,3.813,4.476,5.201,5.673,5.853,7.431,8.579,0.220
40,132.800,4.630,1.809,3.886,4.492,5.283,5.766,6.091,8.604,9.789,0.216
45,134.400,4.565,1.670,3.834,4.604,5.222,5.626,5.892,7.369,9.070,0.219
50,132.200,4.661,2.090,3.813,4.564,5.240,5.739,6.070,7.526,40.769,0.215
55,133.200,4.637,1.772,3.809,4.600,5.316,5.765,6.210,7.895,9.074,0.216
