Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,232.600,4.287,0.435,2.708,3.741,5.341,6.808,9.532,13.016,44.055,0.233
5,246.400,4.052,0.439,2.616,3.333,5.148,6.295,7.181,11.233,141.345,0.247
10,258.400,3.863,0.443,2.312,3.216,5.070,6.214,7.127,11.347,18.350,0.259
15,258.800,3.857,0.387,1.977,3.339,5.095,6.374,7.941,11.662,40.394,0.259
20,299.400,3.333,0.400,1.898,2.621,4.603,5.563,6.208,9.494,13.745,0.300
25,302.000,3.309,0.386,1.893,2.531,4.582,5.558,6.420,9.300,12.565,0.302
30,295.200,3.382,0.390,1.871,2.428,4.707,5.622,6.494,9.285,49.704,0.296
35,298.600,3.346,0.391,1.892,3.108,4.620,5.582,6.606,9.210,12.749,0.299
40,296.200,3.373,0.387,1.894,2.744,4.603,5.629,6.822,9.313,23.664,0.296
45,294.000,3.401,0.384,1.865,3.154,4.722,5.560,7.365,9.484,11.861,0.294
50,294.000,3.393,0.387,1.886,3.046,4.668,5.598,6.873,9.436,40.769,0.295
55,299.200,3.335,0.379,1.871,2.457,4.666,5.621,6.638,9.363,12.180,0.300
