Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.800,1.269,1.011,1.137,1.240,1.372,1.504,1.573,2.026,2.026,0.788
5,9.600,1.190,0.813,1.110,1.197,1.296,1.407,1.417,1.535,1.535,0.840
10,10.000,1.221,0.851,1.133,1.210,1.304,1.423,1.437,1.479,1.479,0.819
15,12.800,1.169,0.861,1.107,1.180,1.233,1.297,1.393,1.493,1.493,0.855
20,12.400,1.142,0.796,1.064,1.161,1.231,1.281,1.346,1.408,1.408,0.875
25,9.400,1.126,0.773,0.999,1.133,1.216,1.388,1.436,1.494,1.494,0.888
30,12.000,1.112,0.830,1.031,1.123,1.186,1.274,1.361,1.429,1.429,0.900
35,7.800,1.287,0.951,1.135,1.316,1.392,1.475,1.529,1.734,1.734,0.777
40,11.400,1.156,0.884,1.073,1.131,1.251,1.367,1.374,1.398,1.398,0.865
45,12.400,1.143,0.824,1.036,1.162,1.233,1.303,1.378,1.537,1.537,0.875
50,10.800,1.143,0.835,1.069,1.152,1.238,1.327,1.380,1.547,1.547,0.875
55,11.200,1.134,0.843,1.054,1.125,1.245,1.312,1.390,1.516,1.516,0.882
