Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.400,28.913,19.366,26.826,28.638,31.157,33.135,34.245,42.223,42.223,0.035
5,4.200,26.211,18.464,23.930,25.961,27.528,32.370,33.005,36.100,36.100,0.038
10,5.800,26.635,20.277,23.112,25.638,29.148,30.548,35.627,41.698,41.698,0.038
15,6.600,24.051,19.431,21.147,24.303,26.036,28.242,29.245,29.678,29.678,0.042
20,7.000,23.333,18.042,19.305,21.950,26.702,30.462,32.328,33.321,33.321,0.043
25,5.800,24.239,19.098,22.921,24.304,25.339,27.406,28.465,29.112,29.112,0.041
30,4.000,24.686,19.665,22.988,23.797,25.462,29.585,36.936,36.936,36.936,0.041
35,5.800,23.169,19.137,21.055,22.890,24.008,27.070,28.789,31.493,31.493,0.043
40,6.000,27.134,18.622,24.907,27.317,29.847,32.997,34.041,34.222,34.222,0.037
45,8.000,21.772,18.406,19.847,21.407,23.323,25.907,28.424,29.058,29.058,0.046
50,5.200,23.346,18.305,21.484,22.691,25.312,28.149,28.519,29.593,29.593,0.043
55,4.600,24.057,19.001,20.378,23.231,27.843,29.447,29.548,30.110,30.110,0.042
