Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.200,1.962,1.103,1.313,1.853,2.455,3.223,3.897,4.062,4.062,0.510
5,5.600,1.626,0.990,1.233,1.579,1.884,2.152,3.051,3.293,3.293,0.615
10,5.600,1.611,0.879,1.242,1.444,1.973,2.717,2.721,3.009,3.009,0.621
15,7.200,1.409,0.883,1.085,1.264,1.529,2.122,2.950,3.320,3.320,0.710
20,7.000,1.247,0.975,1.071,1.135,1.278,1.529,2.342,2.489,2.489,0.802
25,6.000,1.422,0.957,1.147,1.267,1.602,2.148,2.272,3.112,3.112,0.703
30,4.200,1.338,0.899,1.088,1.176,1.407,1.839,1.997,2.543,2.543,0.747
35,7.400,1.354,1.045,1.117,1.177,1.513,2.060,2.127,2.591,2.591,0.738
40,5.800,1.478,0.945,1.113,1.347,1.847,2.203,2.313,2.425,2.425,0.677
45,5.200,1.378,0.960,1.020,1.162,1.389,1.958,2.247,5.011,5.011,0.726
50,4.800,1.393,0.954,1.056,1.259,1.459,2.084,2.340,2.981,2.981,0.718
55,5.400,1.429,0.954,1.063,1.188,1.679,2.281,2.418,3.577,3.577,0.700
