Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,58.600,11.702,4.871,9.391,11.637,13.802,15.597,17.025,18.612,21.139,0.085
5,60.600,10.823,5.032,8.569,10.699,12.795,15.072,16.432,18.678,22.335,0.092
10,67.200,9.589,4.762,7.390,9.150,11.537,13.420,14.539,16.562,19.045,0.104
15,68.600,9.813,4.577,7.681,9.679,11.535,13.309,14.682,16.585,19.946,0.102
20,75.600,9.608,4.735,7.455,9.511,11.217,13.114,13.760,16.550,21.816,0.104
25,75.200,9.277,4.268,7.201,9.014,10.774,12.801,14.126,17.452,19.963,0.108
30,73.800,9.417,4.756,7.520,9.499,11.055,12.906,13.748,15.620,18.210,0.106
35,71.800,9.220,4.624,7.178,9.302,10.967,12.492,13.346,15.283,17.658,0.108
40,63.800,10.224,4.955,7.845,10.201,12.073,14.186,15.545,16.948,17.342,0.098
45,68.400,9.450,4.056,7.512,9.142,11.072,12.871,14.163,17.669,19.795,0.106
50,74.800,9.181,4.446,7.108,8.956,10.784,12.662,13.778,16.975,18.793,0.109
55,73.000,9.237,4.063,7.221,9.042,10.820,12.939,14.156,16.105,18.496,0.108
