Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,54.600,3.587,1.816,2.939,3.446,4.041,4.768,5.123,7.604,12.584,0.279
5,54.600,3.414,1.896,2.760,3.213,3.834,4.494,5.280,7.863,9.583,0.293
10,68.000,2.872,1.643,2.220,2.649,3.322,4.055,4.543,5.342,6.731,0.348
15,66.800,2.757,1.703,2.252,2.557,3.090,3.612,4.057,5.865,10.003,0.363
20,65.000,2.616,1.604,2.160,2.433,2.906,3.405,3.851,4.880,8.278,0.382
25,69.400,2.491,1.631,2.039,2.283,2.801,3.258,3.708,4.591,5.774,0.401
30,67.400,2.534,1.715,2.146,2.377,2.791,3.218,3.637,4.614,6.989,0.395
35,68.000,2.407,1.624,2.021,2.234,2.655,3.066,3.479,4.721,7.483,0.416
40,66.200,2.797,1.629,2.224,2.628,3.164,3.730,4.126,5.697,9.563,0.357
45,72.800,2.603,1.740,2.165,2.372,2.796,3.423,3.913,5.582,7.597,0.384
50,71.000,2.547,1.661,2.096,2.333,2.806,3.279,3.877,4.675,8.236,0.393
55,62.800,2.473,1.554,2.029,2.300,2.695,3.322,3.767,4.758,5.357,0.404
