Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,125,125.000,1387,3461,6573,8039,11932,14830,15597,26814,38996
1,118,118.000,1555,3314,5285,8424,12877,16547,21139,29603,32300
2,136,136.000,1267,2978,5354,7356,10958,14172,16617,29863,33272
3,133,133.000,1406,3123,4143,7532,11869,14678,17106,27737,30773
4,128,128.000,1173,3005,6633,7817,11807,14188,15834,28086,30467
5,125,125.000,1800,3347,5175,7983,11159,15409,17006,30389,33351
6,120,120.000,1495,3392,7841,8474,12103,15076,22335,27950,30288
7,135,135.000,1070,2885,5692,7258,9777,13395,22788,28499,33353
8,128,128.000,1455,2965,6276,7773,10699,15490,19942,30634,34646
9,143,143.000,1174,2945,6023,7030,10997,13260,14060,23353,29134
10,136,136.000,1193,3015,5321,7306,10442,13132,18961,29862,34508
11,132,132.000,1750,3156,6150,7562,10988,13927,22467,24356,26302
12,175,175.000,1196,2234,3627,5710,8120,10847,12384,23129,24854
13,142,142.000,1089,2618,4312,7035,10508,14254,16529,27466,28826
14,172,172.000,1076,2242,5023,5802,8246,11876,13408,21811,23696
15,146,146.000,1001,2502,5670,6911,9977,12981,19596,27951,28985
16,159,159.000,1033,2266,3293,6228,9257,12292,16585,24199,28757
17,161,161.000,1029,2360,3358,6264,9806,12350,13943,24278,28302
18,145,145.000,1122,2482,5536,6831,9621,13108,19548,25645,26030
19,166,166.000,826,2377,3534,6053,9755,11922,13309,19626,26559
20,161,161.000,1106,2497,4271,6222,9057,12877,13760,23547,23872
21,148,148.000,903,2332,6546,6707,9799,12628,16550,22923,24061
22,153,153.000,887,2434,6765,6544,9780,11932,13182,19665,20883
23,158,158.000,871,2226,3855,6288,9750,12821,14626,23548,24897
24,162,162.000,1168,2337,3853,6212,9913,12206,13401,20612,21816
25,175,175.000,1048,2153,3441,5686,8093,11605,14211,26075,28939
26,158,158.000,925,2126,5858,6334,9444,11980,14701,24784,24913
27,159,159.000,968,2172,3951,6326,9542,13708,18267,24491,26806
28,161,161.000,940,2148,4234,6138,9439,12008,13665,21505,21769
29,172,172.000,897,2207,4397,5855,8920,11339,13748,23534,24041
30,148,148.000,1004,2577,5256,6740,10163,12673,14436,28075,28429
31,154,154.000,981,2267,3592,6472,9756,12276,18210,27670,31531
32,171,171.000,959,2259,4007,5816,8829,11058,12932,22755,23153
33,164,164.000,971,2180,3783,6123,9578,12039,14582,24052,25658
34,163,163.000,965,2198,5015,6104,9810,11986,13002,22326,26212
35,149,149.000,956,2139,3460,6716,9785,13989,20149,24193,30235
36,167,167.000,995,2205,3146,5971,9522,11773,13140,24542,25040
37,156,156.000,922,2285,5532,6431,10126,12573,13346,24421,25141
38,174,174.000,878,2000,2944,5736,8795,11493,19244,22376,23155
39,164,164.000,964,2177,4876,6112,9114,11481,13400,27833,29045
40,143,143.000,1034,2628,4761,6967,10494,13815,16264,27748,28545
41,133,133.000,1213,2631,6109,7527,11410,14415,16212,27807,28128
42,126,126.000,1131,2684,4829,7958,11950,16525,24475,27217,29439
43,152,152.000,986,2555,5375,6560,9810,11771,13209,25192,26278
44,178,178.000,947,2098,3022,5596,8312,12048,15201,24351,25315
45,171,171.000,933,2119,2691,5863,9408,11361,13340,22450,22572
46,165,165.000,910,2257,3176,6024,8819,12847,18070,25325,27608
47,163,163.000,978,2261,5406,6124,8555,10996,14407,24407,25339
48,154,154.000,922,2486,4302,6493,9690,12206,16231,20934,27504
49,153,153.000,1020,2316,3673,6650,9836,13011,16155,28094,28511
50,162,162.000,999,2111,5548,6090,9189,11658,13682,24095,28804
51,170,170.000,886,2162,4735,5847,8623,10960,13109,24315,30299
52,186,186.000,883,2076,2942,5417,8017,11049,14097,25164,27119
53,145,145.000,987,2616,6492,6826,9904,12455,14392,21236,23818
54,167,167.000,953,2332,3035,5984,9606,12374,13945,23368,24034
55,136,136.000,1084,2628,6025,7410,11122,14224,19631,27255,27860
56,163,163.000,884,2122,4758,6099,9060,11893,13126,23534,26452
57,153,153.000,821,2150,6006,6568,9975,12017,16408,23753,23840
58,164,164.000,958,2193,4172,6045,9262,12017,14205,25200,28500
59,149,149.000,900,2324,5856,6691,9182,13608,17879,20536,26226
