Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1694006150.324787,8195,0,1
2,Payment,1694006150.333087,4177,0,1
2,Payment,1694006150.337277,3863,0,1
2,Payment,1694006150.341152,4497,0,1
3,OrderStatus,1694006150.345662,3612,0,1
1,NewOrder,1694006150.349287,24581,0,1
4,Delivery,1694006150.373880,32029,0,1
1,NewOrder,1694006150.405923,9675,0,1
1,NewOrder,1694006150.415610,11568,0,1
1,NewOrder,1694006150.427190,12623,0,1
1,NewOrder,1694006150.439824,14471,0,1
2,Payment,1694006150.454308,4282,0,1
2,Payment,1694006150.458602,5057,0,1
1,NewOrder,1694006150.463672,16104,0,1
2,Payment,1694006150.479789,3661,0,1
2,Payment,1694006150.483461,5552,0,1
1,NewOrder,1694006150.489025,13281,0,1
1,NewOrder,1694006150.502318,13859,0,1
1,NewOrder,1694006150.516189,12794,0,1
2,Payment,1694006150.528995,4388,0,1
2,Payment,1694006150.533396,3771,0,1
1,NewOrder,1694006150.537179,8046,0,1
1,NewOrder,1694006150.545237,9752,0,1
1,NewOrder,1694006150.555002,14270,0,1
1,NewOrder,1694006150.569284,7116,0,1
1,NewOrder,1694006150.576412,9112,0,1
2,Payment,1694006150.585536,2542,0,1
1,NewOrder,1694006150.588090,13618,0,1
2,Payment,1694006150.601720,3926,0,1
1,NewOrder,1694006150.605658,11283,0,1
2,Payment,1694006150.616953,4994,0,1
2,Payment,1694006150.621958,3985,0,1
2,Payment,1694006150.625957,4375,0,1
2,Payment,1694006150.630344,4073,0,1
1,NewOrder,1694006150.634430,12970,0,1
1,NewOrder,1694006150.647412,6278,0,1
1,NewOrder,1694006150.653702,4956,0,1
1,NewOrder,1694006150.658669,8783,0,1
2,Payment,1694006150.667465,4232,0,1
5,StockLevel,1694006150.671712,2390,0,1
2,Payment,1694006150.674113,3112,0,1
2,Payment,1694006150.677236,7053,0,1
2,Payment,1694006150.684302,3327,0,1
1,NewOrder,1694006150.687660,10938,0,1
2,Payment,1694006150.698610,4243,0,1
1,NewOrder,1694006150.702864,10556,0,1
1,NewOrder,1694006150.713432,10464,0,1
5,StockLevel,1694006150.723908,2052,0,1
1,NewOrder,1694006150.725971,10616,0,1
2,Payment,1694006150.736598,2433,0,1
1,NewOrder,1694006150.739043,13947,0,1
2,Payment,1694006150.753002,3002,0,1
1,NewOrder,1694006150.756015,10319,0,1
