Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.200,1.823,1.112,1.564,1.704,1.840,2.390,2.511,3.687,3.687,0.548
5,4.800,1.583,1.201,1.468,1.561,1.671,2.013,2.096,2.269,2.269,0.632
10,6.600,1.618,1.107,1.360,1.449,1.654,2.136,2.635,4.221,4.221,0.618
15,5.600,1.585,1.225,1.441,1.537,1.692,1.978,2.124,2.134,2.134,0.631
20,6.400,1.559,1.100,1.304,1.437,1.718,1.906,2.715,3.333,3.333,0.641
25,6.200,1.492,1.067,1.255,1.424,1.680,1.810,2.168,2.360,2.360,0.670
30,6.200,1.508,1.145,1.318,1.414,1.620,1.851,2.365,2.408,2.408,0.663
35,6.000,1.571,1.160,1.385,1.481,1.704,2.239,2.279,2.302,2.302,0.636
40,6.200,1.693,1.350,1.441,1.609,1.818,1.974,2.238,3.420,3.420,0.591
45,8.000,1.662,1.257,1.417,1.552,1.652,2.046,2.550,4.542,4.542,0.602
50,4.600,1.726,1.360,1.498,1.584,1.951,2.188,2.407,2.744,2.744,0.579
55,5.800,1.737,1.240,1.456,1.564,1.874,2.210,2.414,3.674,3.674,0.576
