Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,144.400,6.926,1.099,2.472,4.497,10.319,13.759,17.398,28.376,32.029,0.144
5,143.000,6.987,1.004,2.445,5.748,10.088,13.517,18.033,26.764,30.618,0.143
10,154.600,6.453,0.934,2.276,4.098,9.483,12.601,18.611,25.260,33.854,0.155
15,144.000,6.943,0.914,2.519,5.185,10.440,13.298,15.820,25.414,29.312,0.144
20,163.800,6.100,0.932,2.244,3.764,8.837,11.892,15.017,24.166,27.179,0.164
25,146.000,6.840,0.937,2.402,5.073,9.927,13.359,18.420,25.341,32.100,0.146
30,167.200,5.983,0.836,2.168,3.905,8.720,11.695,14.846,24.654,32.694,0.167
35,148.200,6.735,0.881,2.356,5.093,9.820,12.968,16.697,26.648,32.305,0.148
40,157.000,6.368,0.885,2.257,4.191,9.492,12.293,14.975,26.108,32.343,0.157
45,165.600,6.041,0.863,2.154,5.054,9.026,11.473,13.566,22.197,29.096,0.166
50,144.200,6.924,0.915,2.404,5.620,9.920,13.229,19.162,26.793,29.740,0.144
55,146.800,6.803,0.869,2.282,4.286,10.048,13.541,18.462,26.633,35.240,0.147
