Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.400,9.478,8.392,8.773,9.016,9.596,10.720,11.287,18.925,18.925,0.106
5,17.000,9.206,8.648,8.811,8.980,9.358,9.980,10.583,12.488,12.488,0.109
10,16.800,9.042,8.577,8.795,8.888,9.075,9.463,9.758,11.678,11.678,0.111
15,13.200,9.407,8.632,8.888,9.061,9.618,10.300,10.909,13.552,13.552,0.106
20,14.400,9.385,8.452,8.781,8.958,9.430,11.032,12.054,13.436,13.436,0.107
25,14.200,9.421,8.667,8.894,8.997,9.646,10.530,11.638,13.867,13.867,0.106
30,13.600,9.496,8.481,8.979,9.167,9.640,11.061,11.307,12.810,12.810,0.105
35,17.800,8.389,6.790,7.365,7.665,9.265,10.360,11.388,12.544,12.544,0.119
40,19.800,7.696,6.873,7.447,7.538,7.679,8.427,8.853,10.718,10.718,0.130
45,17.000,7.624,6.762,7.154,7.340,7.789,8.696,9.506,10.837,10.837,0.131
50,15.000,7.717,6.731,7.203,7.418,7.787,8.820,9.354,13.467,13.467,0.130
55,17.600,7.625,6.890,7.239,7.365,7.729,8.316,9.947,11.045,11.045,0.131
