Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,167.200,3.846,1.936,2.993,3.816,4.553,5.128,5.412,6.394,13.325,0.260
5,168.400,3.713,2.061,2.890,3.663,4.440,4.963,5.281,6.302,8.872,0.269
10,170.000,3.692,1.957,2.929,3.687,4.422,4.886,5.165,5.560,7.591,0.271
15,165.000,3.765,1.969,2.952,3.678,4.464,5.077,5.377,6.408,7.399,0.266
20,167.800,3.773,1.950,2.913,3.691,4.482,5.171,5.483,6.654,7.576,0.265
25,160.800,3.805,1.838,3.022,3.763,4.516,5.086,5.475,6.313,10.039,0.263
30,163.000,3.817,1.649,2.984,3.829,4.596,5.112,5.441,6.512,8.668,0.262
35,183.800,3.486,1.695,2.669,3.397,4.110,4.760,5.257,5.972,7.125,0.287
40,198.600,3.327,1.779,2.672,3.257,3.985,4.371,4.529,5.522,7.600,0.301
45,200.800,3.376,1.663,2.636,3.343,3.983,4.459,4.781,6.024,7.933,0.296
50,203.800,3.380,1.722,2.624,3.349,4.048,4.485,4.806,6.036,7.686,0.296
55,199.000,3.329,1.943,2.632,3.242,3.931,4.348,4.620,6.732,8.538,0.300
