Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.200,1.077,0.419,0.684,1.168,1.237,1.445,1.873,2.431,2.431,0.928
5,11.600,0.924,0.398,0.477,1.149,1.188,1.253,1.266,1.395,1.395,1.083
10,18.600,0.918,0.381,0.451,1.136,1.168,1.226,1.253,1.347,1.347,1.089
15,10.800,0.834,0.391,0.431,1.122,1.160,1.217,1.250,1.330,1.330,1.199
20,16.400,0.871,0.360,0.428,1.121,1.155,1.184,1.198,1.239,1.239,1.149
25,14.400,0.907,0.380,0.427,1.155,1.202,1.225,1.263,1.327,1.327,1.102
30,13.000,0.926,0.385,0.428,1.131,1.184,1.238,1.256,1.612,1.612,1.080
35,14.800,0.509,0.386,0.408,0.432,0.469,0.557,1.271,1.821,1.821,1.964
40,17.000,0.448,0.388,0.417,0.426,0.439,0.472,0.515,1.512,1.512,2.234
45,20.200,0.442,0.368,0.398,0.415,0.438,0.488,0.524,0.810,1.508,2.261
50,17.800,0.437,0.363,0.397,0.411,0.429,0.472,0.581,1.171,1.171,2.287
55,23.600,0.436,0.362,0.393,0.406,0.430,0.462,0.512,0.992,1.456,2.296
