Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,160.600,1.358,0.766,0.890,1.488,1.576,1.691,1.822,2.764,9.278,0.736
5,150.600,1.284,0.745,0.841,1.501,1.562,1.632,1.688,2.041,2.470,0.779
10,147.400,1.278,0.742,0.819,1.506,1.561,1.636,1.701,1.849,3.506,0.782
15,173.600,1.316,0.751,0.842,1.519,1.577,1.654,1.714,2.518,3.672,0.760
20,157.800,1.289,0.752,0.821,1.511,1.569,1.626,1.677,2.089,3.925,0.776
25,170.200,1.325,0.751,0.857,1.536,1.607,1.670,1.727,2.228,4.585,0.754
30,165.600,1.343,0.733,0.854,1.527,1.593,1.667,1.746,2.429,4.906,0.745
35,181.000,1.019,0.731,0.807,0.844,0.978,1.606,1.769,1.990,3.200,0.981
40,185.600,0.861,0.739,0.818,0.838,0.870,0.938,0.971,1.230,2.518,1.162
45,186.400,0.875,0.732,0.793,0.823,0.877,0.956,1.148,1.882,2.954,1.143
50,196.800,0.881,0.725,0.790,0.816,0.868,0.950,1.254,2.039,2.827,1.135
55,200.400,0.859,0.730,0.787,0.809,0.858,0.925,1.017,1.910,3.511,1.164
