Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,OrderStatus,1694004124.918121,6866,0,1
2,Payment,1694004124.925069,4994,0,1
1,NewOrder,1694004124.930079,7699,0,1
2,Payment,1694004124.937794,1966,0,1
2,Payment,1694004124.939772,2994,0,1
3,OrderStatus,1694004124.942780,2390,0,1
2,Payment,1694004124.945181,1760,0,1
2,Payment,1694004124.946953,1855,0,1
1,NewOrder,1694004124.948819,4422,0,1
1,NewOrder,1694004124.953254,5125,0,1
2,Payment,1694004124.958391,2340,0,1
1,NewOrder,1694004124.960743,5393,0,1
3,OrderStatus,1694004124.966147,1833,0,1
5,StockLevel,1694004124.967991,1745,0,1
1,NewOrder,1694004124.969747,7561,0,1
1,NewOrder,1694004124.977320,6246,0,1
4,Delivery,1694004124.983578,15442,0,1
2,Payment,1694004124.999038,10456,0,1
1,NewOrder,1694004125.009515,4312,0,1
1,NewOrder,1694004125.013853,5060,0,1
1,NewOrder,1694004125.018937,4152,0,1
1,NewOrder,1694004125.023112,6451,0,1
2,Payment,1694004125.029584,1591,0,1
2,Payment,1694004125.031187,1435,0,1
1,NewOrder,1694004125.032634,5485,0,1
2,Payment,1694004125.038134,2274,0,1
2,Payment,1694004125.040430,3611,0,1
2,Payment,1694004125.044060,1384,0,1
1,NewOrder,1694004125.045461,4802,0,1
3,OrderStatus,1694004125.050281,2614,0,1
4,Delivery,1694004125.052909,15046,0,1
2,Payment,1694004125.067979,1430,0,1
1,NewOrder,1694004125.069425,4699,0,1
1,NewOrder,1694004125.074138,5550,0,1
2,Payment,1694004125.079703,2415,0,1
1,NewOrder,1694004125.082130,4626,0,1
1,NewOrder,1694004125.086770,4290,0,1
2,Payment,1694004125.091074,1242,0,1
1,NewOrder,1694004125.092332,8496,0,1
1,NewOrder,1694004125.100843,5400,0,1
2,Payment,1694004125.106264,1590,0,1
1,NewOrder,1694004125.107868,5113,0,1
1,NewOrder,1694004125.112998,4792,0,1
1,NewOrder,1694004125.117813,2905,0,1
1,NewOrder,1694004125.120734,5514,0,1
1,NewOrder,1694004125.126268,5487,0,1
2,Payment,1694004125.131778,1943,0,1
1,NewOrder,1694004125.133739,4798,0,1
2,Payment,1694004125.138556,2028,0,1
1,NewOrder,1694004125.140600,4299,0,1
5,StockLevel,1694004125.144915,1244,0,1
1,NewOrder,1694004125.146171,2675,0,1
2,Payment,1694004125.148858,2018,0,1
1,NewOrder,1694004125.150888,5969,0,1
5,StockLevel,1694004125.156870,2689,0,1
2,Payment,1694004125.159572,2254,0,1
2,Payment,1694004125.161840,3932,0,1
2,Payment,1694004125.165787,1352,0,1
1,NewOrder,1694004125.167152,3776,0,1
2,Payment,1694004125.170941,1988,0,1
2,Payment,1694004125.172942,1032,0,1
1,NewOrder,1694004125.173986,2592,0,1
1,NewOrder,1694004125.176590,3195,0,1
4,Delivery,1694004125.179798,10002,0,1
2,Payment,1694004125.189832,2206,0,1
2,Payment,1694004125.192056,1929,0,1
1,NewOrder,1694004125.193999,4110,0,1
1,NewOrder,1694004125.198125,4621,0,1
2,Payment,1694004125.202766,1100,0,1
2,Payment,1694004125.203880,3022,0,1
1,NewOrder,1694004125.206917,4541,0,1
2,Payment,1694004125.211479,1887,0,1
1,NewOrder,1694004125.213381,5612,0,1
1,NewOrder,1694004125.219014,3284,0,1
2,Payment,1694004125.222316,2065,0,1
2,Payment,1694004125.224397,1989,0,1
1,NewOrder,1694004125.226410,3494,0,1
2,Payment,1694004125.229920,1069,0,1
2,Payment,1694004125.231005,1031,0,1
2,Payment,1694004125.232050,1826,0,1
2,Payment,1694004125.233891,2289,0,1
1,NewOrder,1694004125.236197,4017,0,1
2,Payment,1694004125.240238,2186,0,1
2,Payment,1694004125.242444,1236,0,1
1,NewOrder,1694004125.243698,2896,0,1
2,Payment,1694004125.246612,1230,0,1
2,Payment,1694004125.247859,1857,0,1
2,Payment,1694004125.249732,1907,0,1
2,Payment,1694004125.251656,1089,0,1
1,NewOrder,1694004125.252759,4647,0,1
1,NewOrder,1694004125.257422,5294,0,1
1,NewOrder,1694004125.262734,4302,0,1
3,OrderStatus,1694004125.267054,1126,0,1
2,Payment,1694004125.268194,1900,0,1
2,Payment,1694004125.270107,1018,0,1
2,Payment,1694004125.271138,2096,0,1
2,Payment,1694004125.273291,1791,0,1
2,Payment,1694004125.275092,1902,0,1
5,StockLevel,1694004125.277005,1181,0,1
1,NewOrder,1694004125.278195,2718,0,1
2,Payment,1694004125.280924,1731,0,1
1,NewOrder,1694004125.282667,3203,0,1
1,NewOrder,1694004125.285881,3370,0,1
1,NewOrder,1694004125.289263,3867,0,1
1,NewOrder,1694004125.293141,5209,0,1
1,NewOrder,1694004125.298361,5607,0,1
1,NewOrder,1694004125.303981,2378,0,1
1,NewOrder,1694004125.306374,3846,0,1
2,Payment,1694004125.310229,1030,0,1
1,NewOrder,1694004125.311269,3707,0,1
2,Payment,1694004125.314988,1818,0,1
1,NewOrder,1694004125.316816,2731,0,1
1,NewOrder,1694004125.319557,4554,0,1
3,OrderStatus,1694004125.324122,1173,0,1
1,NewOrder,1694004125.325306,4690,0,1
1,NewOrder,1694004125.330010,4457,0,1
1,NewOrder,1694004125.334479,3448,0,1
2,Payment,1694004125.337939,1940,0,1
1,NewOrder,1694004125.339891,3635,0,1
2,Payment,1694004125.343537,1793,0,1
2,Payment,1694004125.345341,1670,0,1
1,NewOrder,1694004125.347022,4068,0,1
2,Payment,1694004125.351101,1905,0,1
2,Payment,1694004125.353018,968,0,1
1,NewOrder,1694004125.353997,3511,0,1
1,NewOrder,1694004125.357532,3988,0,1
1,NewOrder,1694004125.361531,4142,0,1
2,Payment,1694004125.365725,1717,0,1
1,NewOrder,1694004125.367481,2243,0,1
2,Payment,1694004125.369734,983,0,1
4,Delivery,1694004125.370727,9471,0,1
2,Payment,1694004125.380209,955,0,1
1,NewOrder,1694004125.381174,2818,0,1
2,Payment,1694004125.384003,954,0,1
2,Payment,1694004125.384967,972,0,1
1,NewOrder,1694004125.385949,2677,0,1
1,NewOrder,1694004125.388635,2509,0,1
2,Payment,1694004125.391153,1674,0,1
1,NewOrder,1694004125.392837,3920,0,1
1,NewOrder,1694004125.396766,4927,0,1
2,Payment,1694004125.401703,1636,0,1
1,NewOrder,1694004125.403373,3251,0,1
1,NewOrder,1694004125.406635,4665,0,1
2,Payment,1694004125.411313,1028,0,1
5,StockLevel,1694004125.412350,1228,0,1
1,NewOrder,1694004125.413586,4571,0,1
4,Delivery,1694004125.418167,9964,0,1
1,NewOrder,1694004125.428149,3358,0,1
1,NewOrder,1694004125.431520,4387,0,1
2,Payment,1694004125.435920,980,0,1
1,NewOrder,1694004125.436910,3920,0,1
1,NewOrder,1694004125.440841,4120,0,1
3,OrderStatus,1694004125.444970,1752,0,1
1,NewOrder,1694004125.446733,3470,0,1
5,StockLevel,1694004125.450213,1194,0,1
2,Payment,1694004125.451418,1315,0,1
1,NewOrder,1694004125.452745,2689,0,1
3,OrderStatus,1694004125.455447,1803,0,1
3,OrderStatus,1694004125.457263,1131,0,1
1,NewOrder,1694004125.458405,7938,0,1
2,Payment,1694004125.466362,1043,0,1
5,StockLevel,1694004125.467415,885,0,1
4,Delivery,1694004125.468308,10133,0,1
2,Payment,1694004125.478455,1783,0,1
1,NewOrder,1694004125.480249,4166,0,1
5,StockLevel,1694004125.484426,1056,0,1
1,NewOrder,1694004125.485491,2811,0,1
2,Payment,1694004125.488312,992,0,1
1,NewOrder,1694004125.489314,2477,0,1
1,NewOrder,1694004125.491801,4438,0,1
1,NewOrder,1694004125.496249,4409,0,1
3,OrderStatus,1694004125.500668,2719,0,1
1,NewOrder,1694004125.503398,3036,0,1
1,NewOrder,1694004125.506444,2411,0,1
1,NewOrder,1694004125.508865,3478,0,1
1,NewOrder,1694004125.512353,4536,0,1
2,Payment,1694004125.516898,1656,0,1
1,NewOrder,1694004125.518564,4851,0,1
4,Delivery,1694004125.523430,10135,0,1
2,Payment,1694004125.533586,2471,0,1
2,Payment,1694004125.536075,2591,0,1
4,Delivery,1694004125.538682,10101,0,1
2,Payment,1694004125.548804,1059,0,1
3,OrderStatus,1694004125.549887,1691,0,1
2,Payment,1694004125.551590,1080,0,1
1,NewOrder,1694004125.552682,6347,0,1
2,Payment,1694004125.559041,2102,0,1
1,NewOrder,1694004125.561155,3627,0,1
2,Payment,1694004125.564799,1113,0,1
2,Payment,1694004125.565927,1804,0,1
1,NewOrder,1694004125.567746,2742,0,1
2,Payment,1694004125.570503,1716,0,1
3,OrderStatus,1694004125.572233,1546,0,1
1,NewOrder,1694004125.573791,2724,0,1
1,NewOrder,1694004125.576526,3314,0,1
2,Payment,1694004125.579852,981,0,1
2,Payment,1694004125.580843,983,0,1
1,NewOrder,1694004125.581837,2548,0,1
2,Payment,1694004125.584395,1683,0,1
1,NewOrder,1694004125.586088,4372,0,1
4,Delivery,1694004125.590472,9690,0,1
1,NewOrder,1694004125.600175,2759,0,1
2,Payment,1694004125.602945,1673,0,1
1,NewOrder,1694004125.604628,3451,0,1
1,NewOrder,1694004125.608089,2555,0,1
2,Payment,1694004125.610654,1635,0,1
2,Payment,1694004125.612299,973,0,1
1,NewOrder,1694004125.613282,3066,0,1
2,Payment,1694004125.616357,1929,0,1
2,Payment,1694004125.618296,1844,0,1
2,Payment,1694004125.620150,1733,0,1
2,Payment,1694004125.621893,1033,0,1
1,NewOrder,1694004125.622937,6144,0,1
2,Payment,1694004125.629094,3442,0,1
1,NewOrder,1694004125.632546,3724,0,1
4,Delivery,1694004125.636282,10186,0,1
1,NewOrder,1694004125.646480,5013,0,1
1,NewOrder,1694004125.651503,5404,0,1
1,NewOrder,1694004125.656917,3874,0,1
1,NewOrder,1694004125.660800,5535,0,1
2,Payment,1694004125.666345,940,0,1
2,Payment,1694004125.667293,930,0,1
2,Payment,1694004125.668232,1625,0,1
1,NewOrder,1694004125.669867,3048,0,1
1,NewOrder,1694004125.672926,3184,0,1
1,NewOrder,1694004125.676121,3090,0,1
2,Payment,1694004125.679221,1807,0,1
1,NewOrder,1694004125.681038,4174,0,1
4,Delivery,1694004125.685221,9516,0,1
2,Payment,1694004125.694748,1001,0,1
2,Payment,1694004125.695759,1610,0,1
1,NewOrder,1694004125.697378,4709,0,1
2,Payment,1694004125.702096,883,0,1
1,NewOrder,1694004125.702988,5526,0,1
2,Payment,1694004125.708524,1582,0,1
2,Payment,1694004125.710114,908,0,1
1,NewOrder,1694004125.711030,3186,0,1
1,NewOrder,1694004125.714225,3720,0,1
2,Payment,1694004125.717966,1660,0,1
2,Payment,1694004125.719647,1667,0,1
2,Payment,1694004125.721323,2671,0,1
2,Payment,1694004125.724002,1809,0,1
2,Payment,1694004125.725819,1514,0,1
2,Payment,1694004125.727342,1523,0,1
2,Payment,1694004125.728873,883,0,1
1,NewOrder,1694004125.729764,4999,0,1
1,NewOrder,1694004125.734773,3090,0,1
2,Payment,1694004125.737872,855,0,1
2,Payment,1694004125.738735,1552,0,1
2,Payment,1694004125.740296,1668,0,1
1,NewOrder,1694004125.741972,3425,0,1
2,Payment,1694004125.745406,1749,0,1
2,Payment,1694004125.747164,857,0,1
1,NewOrder,1694004125.748030,4293,0,1
1,NewOrder,1694004125.752332,2688,0,1
3,OrderStatus,1694004125.755062,1328,0,1
3,OrderStatus,1694004125.756402,1407,0,1
2,Payment,1694004125.757827,1005,0,1
1,NewOrder,1694004125.758840,3450,0,1
1,NewOrder,1694004125.762298,5307,0,1
2,Payment,1694004125.767613,1519,0,1
2,Payment,1694004125.769140,863,0,1
2,Payment,1694004125.770011,1541,0,1
4,Delivery,1694004125.771560,9012,0,1
1,NewOrder,1694004125.780582,5215,0,1
1,NewOrder,1694004125.785810,2870,0,1
4,Delivery,1694004125.788691,8937,0,1
1,NewOrder,1694004125.797638,3523,0,1
2,Payment,1694004125.801170,902,0,1
2,Payment,1694004125.802080,1660,0,1
1,NewOrder,1694004125.803748,2565,0,1
1,NewOrder,1694004125.806322,3407,0,1
2,Payment,1694004125.809740,932,0,1
2,Payment,1694004125.810682,1765,0,1
2,Payment,1694004125.812457,976,0,1
2,Payment,1694004125.813443,1680,0,1
1,NewOrder,1694004125.815133,5329,0,1
1,NewOrder,1694004125.820473,5727,0,1
2,Payment,1694004125.826210,1548,0,1
2,Payment,1694004125.827768,1563,0,1
2,Payment,1694004125.829339,1596,0,1
3,OrderStatus,1694004125.830946,790,0,1
1,NewOrder,1694004125.831746,5278,0,1
1,NewOrder,1694004125.837035,4538,0,1
2,Payment,1694004125.841583,1695,0,1
1,NewOrder,1694004125.843288,4359,0,1
2,Payment,1694004125.847658,992,0,1
1,NewOrder,1694004125.848661,3141,0,1
2,Payment,1694004125.851812,1704,0,1
1,NewOrder,1694004125.853525,3795,0,1
2,Payment,1694004125.857339,1289,0,1
2,Payment,1694004125.858638,1854,0,1
1,NewOrder,1694004125.860502,3762,0,1
1,NewOrder,1694004125.864275,3539,0,1
1,NewOrder,1694004125.867823,4929,0,1
2,Payment,1694004125.872764,1028,0,1
1,NewOrder,1694004125.873802,2965,0,1
2,Payment,1694004125.876777,972,0,1
1,NewOrder,1694004125.877758,4119,0,1
1,NewOrder,1694004125.881887,2650,0,1
1,NewOrder,1694004125.884547,3260,0,1
2,Payment,1694004125.887817,1830,0,1
2,Payment,1694004125.889658,2081,0,1
2,Payment,1694004125.891750,881,0,1
2,Payment,1694004125.892641,914,0,1
1,NewOrder,1694004125.893565,7740,0,1
1,NewOrder,1694004125.901323,3032,0,1
2,Payment,1694004125.904368,1732,0,1
1,NewOrder,1694004125.906111,3198,0,1
5,StockLevel,1694004125.909319,1217,0,1
1,NewOrder,1694004125.910544,3619,0,1
2,Payment,1694004125.914172,1600,0,1
2,Payment,1694004125.915782,1511,0,1
1,NewOrder,1694004125.917302,4428,0,1
2,Payment,1694004125.921738,872,0,1
1,NewOrder,1694004125.922619,4594,0,1
2,Payment,1694004125.927221,855,0,1
3,OrderStatus,1694004125.928084,1365,0,1
1,NewOrder,1694004125.929457,3551,0,1
2,Payment,1694004125.933017,1618,0,1
2,Payment,1694004125.934643,821,0,1
2,Payment,1694004125.935472,841,0,1
2,Payment,1694004125.936321,1529,0,1
1,NewOrder,1694004125.937858,3064,0,1
2,Payment,1694004125.940930,957,0,1
2,Payment,1694004125.941895,1524,0,1
2,Payment,1694004125.943426,1736,0,1
4,Delivery,1694004125.945171,8897,0,1
1,NewOrder,1694004125.954075,3051,0,1
1,NewOrder,1694004125.957133,2449,0,1
1,NewOrder,1694004125.959590,3893,0,1
1,NewOrder,1694004125.963491,3831,0,1
2,Payment,1694004125.967333,877,0,1
1,NewOrder,1694004125.968218,3826,0,1
2,Payment,1694004125.972054,874,0,1
1,NewOrder,1694004125.972936,4363,0,1
1,NewOrder,1694004125.977309,4935,0,1
2,Payment,1694004125.982255,1650,0,1
1,NewOrder,1694004125.983914,5556,0,1
4,Delivery,1694004125.989481,9207,0,1
2,Payment,1694004125.998698,1574,0,1
1,NewOrder,1694004126.000281,6358,0,1
1,NewOrder,1694004126.006652,6791,0,1
2,Payment,1694004126.013455,1581,0,1
2,Payment,1694004126.015045,1582,0,1
2,Payment,1694004126.016637,2250,0,1
2,Payment,1694004126.018896,1926,0,1
2,Payment,1694004126.020832,2280,0,1
2,Payment,1694004126.023122,1558,0,1
5,StockLevel,1694004126.024689,1097,0,1
3,OrderStatus,1694004126.025795,1190,0,1
2,Payment,1694004126.026994,950,0,1
2,Payment,1694004126.027952,952,0,1
1,NewOrder,1694004126.028914,4203,0,1
1,NewOrder,1694004126.033127,3923,0,1
1,NewOrder,1694004126.037060,2665,0,1
2,Payment,1694004126.039735,1800,0,1
4,Delivery,1694004126.041544,10154,0,1
2,Payment,1694004126.051709,1718,0,1
2,Payment,1694004126.053438,1711,0,1
2,Payment,1694004126.055160,1763,0,1
1,NewOrder,1694004126.056935,2947,0,1
5,StockLevel,1694004126.059892,817,0,1
2,Payment,1694004126.060719,1663,0,1
2,Payment,1694004126.062391,1658,0,1
1,NewOrder,1694004126.064059,2700,0,1
2,Payment,1694004126.066769,1763,0,1
2,Payment,1694004126.068545,3204,0,1
1,NewOrder,1694004126.071760,4173,0,1
1,NewOrder,1694004126.075943,3390,0,1
1,NewOrder,1694004126.079341,3986,0,1
5,StockLevel,1694004126.083335,717,0,1
2,Payment,1694004126.084059,873,0,1
1,NewOrder,1694004126.084940,3052,0,1
2,Payment,1694004126.088000,1584,0,1
2,Payment,1694004126.089592,1684,0,1
1,NewOrder,1694004126.091284,5312,0,1
2,Payment,1694004126.096606,1784,0,1
1,NewOrder,1694004126.098398,2707,0,1
2,Payment,1694004126.101113,1542,0,1
2,Payment,1694004126.102664,1492,0,1
2,Payment,1694004126.104163,859,0,1
2,Payment,1694004126.105031,829,0,1
1,NewOrder,1694004126.105904,4764,0,1
1,NewOrder,1694004126.110711,3810,0,1
1,NewOrder,1694004126.114533,4260,0,1
2,Payment,1694004126.118801,1658,0,1
2,Payment,1694004126.120469,881,0,1
1,NewOrder,1694004126.121357,2460,0,1
2,Payment,1694004126.123825,1642,0,1
1,NewOrder,1694004126.125475,4759,0,1
1,NewOrder,1694004126.130243,4570,0,1
2,Payment,1694004126.134821,877,0,1
