Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.400,0.994,0.717,0.841,0.933,1.047,1.217,1.719,2.689,2.689,1.006
5,17.000,0.942,0.696,0.832,0.941,1.002,1.138,1.206,1.327,1.327,1.062
10,12.800,1.038,0.865,0.960,1.045,1.099,1.143,1.156,1.627,1.627,0.964
15,23.200,0.918,0.761,0.862,0.906,0.980,1.025,1.051,1.107,1.110,1.089
20,17.600,0.939,0.731,0.877,0.947,1.006,1.032,1.074,1.109,1.109,1.065
25,18.600,0.935,0.781,0.868,0.943,0.992,1.040,1.086,1.116,1.116,1.069
30,18.400,0.926,0.751,0.839,0.926,0.996,1.059,1.082,1.127,1.127,1.080
35,20.400,0.948,0.778,0.881,0.961,1.008,1.039,1.068,1.135,1.213,1.055
40,19.600,0.943,0.772,0.879,0.946,1.000,1.057,1.066,1.101,1.101,1.061
45,19.200,0.941,0.773,0.883,0.936,1.005,1.051,1.077,1.099,1.099,1.062
50,18.000,0.938,0.700,0.866,0.945,1.014,1.067,1.105,1.145,1.145,1.067
55,18.200,0.951,0.782,0.883,0.957,1.013,1.053,1.081,1.176,1.176,1.052
