Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,353.200,2.827,0.416,1.440,2.244,3.894,5.024,7.437,10.158,16.417,0.354
5,339.600,2.938,0.418,1.466,2.375,4.122,5.298,8.551,10.013,13.499,0.340
10,333.800,2.991,0.426,1.544,2.364,4.299,5.347,6.188,10.261,14.482,0.334
15,351.400,2.840,0.398,1.468,2.012,4.004,5.223,6.041,10.231,14.861,0.352
20,366.400,2.726,0.391,1.445,2.011,3.804,4.927,6.072,9.593,13.400,0.367
25,367.000,2.722,0.387,1.307,2.022,3.906,5.045,5.865,9.553,13.425,0.367
30,365.800,2.730,0.372,1.260,2.081,3.862,4.943,6.178,9.636,13.775,0.366
35,376.000,2.656,0.383,0.994,1.887,3.855,4.901,5.620,9.491,11.414,0.377
40,447.800,2.230,0.359,0.828,1.113,3.400,4.278,4.920,7.782,11.286,0.448
45,465.600,2.145,0.360,0.790,1.095,3.264,4.051,5.088,7.283,10.846,0.466
50,463.200,2.156,0.370,0.800,1.051,3.206,4.114,4.987,7.342,8.414,0.464
55,470.200,2.123,0.364,0.797,0.963,3.152,4.082,4.427,7.414,8.690,0.471
