Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,305,305.000,767,1664,2315,3270,4457,5920,7783,11969,16417
1,374,374.000,526,1465,2299,2668,3683,4687,5420,8850,11599
2,356,356.000,441,1451,2312,2801,3737,4931,8548,9321,13368
3,368,368.000,437,1181,1694,2725,3918,4886,8515,9679,10244
4,363,363.000,416,1103,2244,2744,3832,4859,8517,9594,10479
5,376,376.000,426,1025,1618,2646,3606,5045,8577,9296,13499
6,333,333.000,481,1534,2448,2999,4110,5376,8777,9952,10319
7,329,329.000,475,1539,2587,3033,4318,5393,8079,10058,11275
8,336,336.000,461,1556,2529,2971,4239,5406,6256,9981,12063
9,324,324.000,418,1558,2628,3083,4302,5161,9513,10452,11596
10,330,330.000,459,1535,2396,3028,4367,5377,6259,10090,11038
11,347,347.000,464,1561,1919,2885,4193,5300,5818,9821,10555
12,332,332.000,468,1548,2723,2996,4352,5167,5733,10161,12511
13,340,340.000,426,1543,1728,2935,4194,5336,8476,10399,14482
14,320,320.000,470,1488,2519,3122,4329,5625,9628,10761,13425
15,368,368.000,474,1177,1721,2709,3932,5163,5723,9990,10574
16,348,348.000,431,1523,1730,2876,4041,5408,9399,10404,12257
17,324,324.000,438,1595,2790,3070,4176,5418,6323,10231,10606
18,349,349.000,398,1165,2249,2861,3998,5109,6127,10365,14861
19,368,368.000,411,1446,2292,2712,3965,5123,5855,9172,10310
20,359,359.000,399,1135,2217,2782,3834,5085,8738,10232,13400
21,367,367.000,391,1486,2046,2722,3723,4862,6689,9752,10616
22,372,372.000,395,1118,1667,2688,3784,4927,6080,9581,12291
23,360,360.000,393,1460,2205,2773,4047,4998,6003,9357,11649
24,374,374.000,393,1339,2153,2665,3683,4718,5671,10858,12345
25,362,362.000,408,1464,1745,2760,3998,4821,5519,9505,11210
26,339,339.000,397,1492,2397,2944,4194,5342,8092,9553,13425
27,372,372.000,392,1157,1690,2683,3959,5127,6014,9675,13052
28,385,385.000,387,970,1638,2597,3692,4811,5671,9162,11111
29,377,377.000,387,1482,2216,2646,3771,4848,5653,9650,10174
30,376,376.000,413,1480,1743,2657,3688,4874,5767,10088,11760
31,359,359.000,396,1125,2210,2774,4030,5054,6217,9569,13775
32,355,355.000,372,1117,2289,2816,3941,4995,8831,9981,11028
33,372,372.000,383,1184,1662,2681,3716,5065,6079,9396,10188
34,367,367.000,394,1483,2292,2725,3862,4786,5532,9526,12859
35,381,381.000,407,1273,1646,2620,3853,4918,5474,9214,10387
36,380,380.000,388,942,1708,2632,3756,4959,5485,9187,9524
37,357,357.000,383,1480,1663,2791,4225,5099,7061,9491,10139
38,360,360.000,396,1228,2358,2775,4028,4879,5470,9765,11414
39,402,402.000,402,876,1911,2484,3563,4679,5620,9547,10404
40,464,464.000,379,809,1117,2151,3381,4147,4475,7413,8818
41,441,441.000,359,831,1134,2265,3492,4286,4920,7531,7898
42,425,425.000,407,863,2160,2348,3411,4399,6808,8041,10443
43,425,425.000,383,849,1978,2351,3490,4409,7269,7827,11286
44,484,484.000,371,796,953,2064,3124,4075,4354,7267,8877
45,453,453.000,368,785,2018,2201,3273,4125,6945,7204,7867
46,466,466.000,360,787,2017,2142,3286,3966,4283,7132,7763
47,484,484.000,380,784,974,2067,3228,4021,4317,7265,7517
48,477,477.000,363,791,940,2090,3137,4089,6843,7501,8695
49,448,448.000,387,813,1160,2230,3337,4252,5699,7602,10846
50,448,448.000,385,805,2059,2231,3329,4180,7055,7364,8414
51,452,452.000,387,807,1071,2206,3438,4209,6836,7361,7586
52,470,470.000,383,798,1095,2124,3215,4097,4447,7320,7647
53,497,497.000,372,788,891,2017,3107,4074,4405,7254,7363
54,449,449.000,370,805,2052,2218,3199,4099,7124,7347,7437
55,478,478.000,364,794,1031,2088,3139,4058,4364,7459,7581
56,480,480.000,381,796,942,2085,3155,4092,4383,7361,7470
57,460,460.000,379,808,985,2167,3203,4121,6913,7470,7619
58,454,454.000,377,797,1025,2198,3192,4085,7155,7534,8690
59,479,479.000,383,797,897,2081,3112,4082,7004,7302,7403
