Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,60.600,21.184,14.260,18.893,20.273,22.373,25.300,27.914,34.666,41.077,0.047
5,57.000,20.741,15.502,18.752,20.196,22.339,24.684,26.597,29.708,30.730,0.048
10,63.200,20.001,14.840,18.223,19.584,21.176,23.247,24.880,29.799,36.222,0.050
15,59.400,20.442,14.898,18.392,20.086,21.998,23.751,25.411,31.299,39.408,0.049
20,60.200,19.704,14.231,17.799,19.060,20.877,23.999,25.313,28.761,29.891,0.051
25,53.000,20.951,14.506,18.437,19.921,22.485,25.384,27.533,38.365,40.858,0.048
30,57.800,21.191,14.803,18.978,20.818,22.671,25.434,27.614,31.354,33.498,0.047
35,57.600,19.738,13.522,18.031,19.445,21.194,23.106,23.821,28.070,31.304,0.051
40,53.600,20.382,14.854,18.239,19.751,21.715,24.954,26.543,31.028,38.838,0.049
45,54.400,21.598,14.585,19.055,20.690,22.993,26.346,28.641,38.210,46.993,0.046
50,38.400,29.314,19.740,25.298,28.217,32.635,36.777,39.247,51.091,57.346,0.034
55,36.400,29.602,20.324,25.664,28.530,32.716,36.439,39.397,49.398,49.927,0.034
60,40.400,27.896,18.462,23.256,26.828,30.641,35.493,39.664,47.280,50.151,0.036
65,43.800,25.032,16.556,21.728,24.626,27.395,30.078,33.297,41.638,56.469,0.040
70,41.800,25.072,17.337,21.283,23.442,27.526,32.501,37.006,44.483,50.102,0.040
75,39.400,26.830,18.727,23.325,25.920,29.269,34.211,35.982,47.475,52.412,0.037
80,48.400,24.076,16.129,20.661,22.870,26.440,30.161,32.460,43.755,70.752,0.042
85,48.200,25.358,15.502,21.822,24.950,28.049,30.551,33.652,39.908,61.136,0.039
90,54.200,19.858,15.289,18.025,19.544,21.070,22.877,24.312,27.923,32.047,0.050
95,50.800,20.586,15.912,18.298,20.154,22.034,24.241,26.188,34.908,39.037,0.049
100,55.400,20.210,15.048,18.083,19.444,21.570,24.415,26.543,31.588,34.894,0.049
105,57.600,20.047,14.827,17.867,19.600,21.588,23.845,25.121,31.264,36.470,0.050
110,38.600,29.357,20.124,25.821,28.106,31.514,35.245,39.309,57.689,65.554,0.034
115,35.400,30.582,20.502,26.227,29.238,33.203,39.807,44.201,56.759,59.404,0.033
120,34.400,31.976,19.671,26.769,30.526,34.902,41.496,47.763,60.865,65.149,0.031
125,46.000,22.499,15.156,19.853,21.527,24.045,28.366,30.054,35.108,55.610,0.044
130,52.800,20.605,15.584,18.499,20.047,22.119,24.843,26.021,33.045,34.696,0.049
135,54.200,20.070,14.964,18.029,19.248,21.357,24.125,25.940,29.175,48.930,0.050
140,54.000,20.388,13.859,17.971,19.608,21.720,24.431,26.267,34.251,43.500,0.049
145,53.600,20.198,14.427,17.774,19.434,21.342,24.826,26.477,33.432,49.501,0.050
150,48.800,21.021,15.270,18.738,20.417,22.579,25.542,27.123,31.355,36.126,0.048
155,57.400,19.891,14.682,17.929,19.300,21.303,23.314,24.488,29.068,30.054,0.050
160,55.600,20.440,15.099,18.382,19.807,21.460,24.752,26.902,32.120,35.849,0.049
165,59.000,20.648,14.197,18.439,19.810,22.098,24.257,27.550,33.510,36.156,0.048
170,59.000,20.318,15.495,18.234,19.966,21.592,23.447,25.559,31.331,43.231,0.049
175,50.800,25.072,18.301,22.164,24.181,26.876,30.596,34.055,39.249,47.396,0.040
