Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,664.000,8.973,3.880,6.910,8.674,10.599,12.354,13.562,16.767,36.107,0.111
5,657.200,8.998,3.520,6.940,8.668,10.660,12.518,13.881,17.214,28.221,0.111
10,661.200,8.946,3.450,6.955,8.766,10.588,12.154,13.223,16.487,29.575,0.112
15,647.600,8.954,3.577,6.933,8.620,10.535,12.251,13.656,17.493,30.930,0.112
20,703.200,8.623,3.670,6.726,8.426,10.218,11.719,12.675,15.943,22.497,0.116
25,638.800,9.265,3.443,7.103,8.918,10.889,12.775,14.358,19.431,35.477,0.108
30,630.000,9.366,3.791,7.218,9.025,11.119,12.959,14.111,18.556,36.177,0.107
35,693.200,8.733,3.422,6.864,8.580,10.287,11.807,12.751,15.352,31.472,0.115
40,666.200,9.002,3.275,6.995,8.746,10.650,12.334,13.619,17.474,23.726,0.111
45,603.800,9.704,3.472,7.327,9.222,11.301,13.489,15.233,21.683,54.019,0.103
50,423.000,14.032,3.987,8.463,11.423,16.470,25.041,32.384,44.983,81.399,0.071
55,428.800,13.816,3.174,8.735,11.563,15.941,23.420,30.346,42.652,86.468,0.072
60,489.000,12.201,3.871,8.185,10.565,13.702,19.390,24.618,40.097,80.764,0.082
65,507.200,11.503,3.905,8.093,10.497,13.376,16.825,21.000,33.315,55.776,0.087
70,492.000,11.847,3.907,8.166,10.460,13.441,17.694,22.910,36.063,76.723,0.084
75,450.600,12.509,4.249,8.853,11.384,14.391,18.591,22.865,34.088,64.333,0.080
80,525.600,11.025,3.657,8.044,10.153,12.713,16.202,19.100,28.762,60.244,0.091
85,505.400,11.376,3.362,8.330,10.618,13.184,16.170,19.086,30.657,48.232,0.088
90,619.800,9.638,4.076,7.402,9.316,11.447,13.320,14.549,18.131,33.182,0.104
95,594.200,9.822,3.280,7.564,9.405,11.534,13.748,15.523,19.702,33.841,0.102
100,612.200,9.550,3.160,7.316,9.214,11.374,13.326,14.792,18.144,24.429,0.105
105,627.600,9.370,3.692,7.185,9.038,11.087,13.009,14.459,17.738,38.906,0.107
110,464.000,12.293,3.603,8.726,11.124,14.144,17.879,23.166,33.915,59.144,0.081
115,418.800,13.320,4.143,8.893,11.677,15.233,20.849,26.589,42.027,68.549,0.075
120,422.800,13.089,4.577,9.070,11.661,14.964,20.424,26.226,35.858,57.188,0.076
125,546.200,10.592,3.798,7.980,10.128,12.372,14.932,16.821,22.624,56.653,0.094
130,572.000,9.895,3.736,7.573,9.509,11.597,14.008,15.600,19.593,27.739,0.101
135,625.400,9.481,4.169,7.318,9.184,11.147,13.036,14.542,18.125,43.294,0.105
140,629.200,9.489,3.750,7.331,9.172,11.175,13.175,14.699,18.166,25.736,0.105
145,626.400,9.279,3.782,7.160,8.977,10.949,12.843,14.229,17.405,38.505,0.108
150,597.000,9.911,4.352,7.634,9.539,11.558,13.796,15.429,19.398,31.672,0.101
155,637.600,9.164,3.405,7.186,9.011,10.813,12.551,13.589,16.616,25.305,0.109
160,631.400,9.452,3.749,7.262,9.213,11.057,13.101,14.438,18.641,35.109,0.106
165,621.000,9.424,3.774,7.259,9.148,11.120,13.077,14.505,17.403,30.700,0.106
170,634.000,9.297,3.531,7.194,9.065,10.951,12.907,14.298,16.836,24.702,0.108
175,548.200,10.414,4.041,7.637,9.587,11.981,14.944,18.318,27.195,47.357,0.096
