Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,59.600,2.917,0.682,1.879,2.425,3.061,4.559,5.780,13.948,17.029,0.343
5,53.400,2.900,0.955,1.872,2.371,3.148,4.182,5.258,11.266,36.727,0.345
10,61.000,2.445,0.733,1.768,2.152,2.785,3.718,4.520,6.912,11.420,0.409
15,58.800,2.757,0.633,1.936,2.430,3.110,4.308,5.174,8.911,10.434,0.363
20,61.000,2.442,0.709,1.782,2.198,2.812,3.474,4.356,6.662,11.559,0.409
25,57.200,2.761,0.730,1.924,2.404,3.063,4.161,5.465,8.727,22.396,0.362
30,53.400,2.936,0.722,2.061,2.553,3.406,4.480,5.825,9.109,9.463,0.341
35,62.200,2.469,0.697,1.744,2.188,2.873,3.639,4.470,6.292,14.753,0.405
40,55.800,2.665,0.879,1.950,2.352,2.984,4.031,5.170,8.630,11.010,0.375
45,60.400,3.120,0.713,1.952,2.657,3.476,4.782,7.159,11.219,18.159,0.321
50,37.400,4.137,0.662,2.554,3.479,4.358,6.136,9.106,21.458,30.307,0.242
55,33.000,4.020,1.495,2.642,3.517,4.723,6.844,8.109,11.434,17.730,0.249
60,43.800,3.431,0.704,2.141,2.760,3.675,5.569,7.095,17.992,29.861,0.291
65,47.200,3.437,0.784,2.123,2.681,3.729,5.428,7.722,20.087,26.309,0.291
70,47.600,3.437,0.908,2.216,2.866,3.891,5.331,7.420,14.117,14.544,0.291
75,37.000,3.950,1.334,2.661,3.297,4.268,6.032,7.529,13.446,29.897,0.253
80,46.200,3.471,1.324,2.197,2.950,3.828,5.446,6.773,12.077,19.511,0.288
85,39.000,3.708,0.782,2.451,3.288,4.067,5.382,6.775,17.322,22.297,0.270
90,59.200,2.912,0.660,1.959,2.512,3.268,4.215,5.832,11.947,16.228,0.343
95,54.800,3.146,0.851,2.047,2.655,3.509,4.817,6.136,14.332,14.467,0.318
100,58.800,2.858,0.702,1.861,2.553,3.323,4.457,5.482,10.049,12.727,0.350
105,55.800,2.609,0.693,1.830,2.313,2.999,4.089,5.148,7.669,9.109,0.383
110,43.800,4.072,0.650,2.824,3.531,4.656,6.012,7.666,13.439,15.616,0.246
115,40.000,3.942,0.713,2.728,3.477,4.659,5.930,8.337,12.167,12.588,0.254
120,37.600,3.820,0.954,2.571,3.311,4.377,6.351,7.785,10.020,15.853,0.262
125,51.600,3.300,0.787,2.075,2.744,3.753,5.237,6.557,12.183,29.873,0.303
130,56.400,3.135,0.959,2.087,2.644,3.823,4.828,5.569,12.061,14.837,0.319
135,56.400,2.701,0.669,1.848,2.298,2.894,4.092,4.878,11.343,20.074,0.370
140,55.200,2.668,1.158,1.867,2.297,3.035,4.236,5.307,8.914,10.203,0.375
145,59.000,2.679,0.822,1.795,2.173,2.884,3.910,5.609,11.802,21.588,0.373
150,48.000,2.904,0.663,2.006,2.532,3.330,4.392,5.314,10.240,13.066,0.344
155,62.600,2.756,0.797,1.838,2.291,3.021,3.927,5.335,11.461,20.555,0.363
160,61.400,2.726,0.765,1.840,2.310,3.016,3.958,5.607,9.823,18.815,0.367
165,53.600,2.864,0.967,1.899,2.416,3.218,4.268,5.325,9.725,21.810,0.349
170,63.200,2.642,0.746,1.895,2.299,2.909,3.938,5.021,7.992,16.902,0.379
175,48.800,2.878,1.024,1.900,2.509,3.294,4.606,5.848,8.259,15.186,0.347
