Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,613.000,2.898,1.392,2.164,2.500,3.008,3.869,5.106,10.326,25.906,0.345
5,636.800,2.850,1.302,2.160,2.500,3.012,3.876,5.006,9.391,24.860,0.351
10,656.400,2.782,1.411,2.119,2.433,2.858,3.715,4.752,9.689,32.164,0.359
15,624.200,2.886,1.458,2.170,2.503,3.019,3.934,5.031,9.688,21.059,0.346
20,666.600,2.717,1.451,2.076,2.373,2.882,3.759,4.739,8.478,16.074,0.368
25,620.400,2.986,1.362,2.168,2.530,3.070,4.132,5.462,11.571,36.269,0.335
30,586.800,3.100,1.400,2.261,2.639,3.241,4.356,5.702,11.558,27.986,0.323
35,659.400,2.765,1.520,2.087,2.384,2.873,3.745,4.849,10.100,19.895,0.362
40,627.400,2.876,1.426,2.146,2.490,3.048,3.976,5.087,9.459,21.034,0.348
45,589.200,3.109,1.449,2.204,2.610,3.232,4.339,5.914,12.122,28.619,0.322
50,420.600,3.860,1.520,2.560,3.132,4.019,5.944,8.668,15.537,35.737,0.259
55,417.400,4.001,1.627,2.609,3.194,4.210,6.084,8.695,18.206,35.238,0.250
60,462.000,3.579,1.622,2.471,2.928,3.775,5.414,7.339,13.618,26.259,0.279
65,495.800,3.479,1.655,2.455,2.914,3.672,4.994,6.659,13.575,34.723,0.287
70,487.200,3.478,1.614,2.412,2.885,3.741,5.179,6.860,11.647,33.540,0.288
75,434.400,3.718,1.465,2.576,3.095,3.990,5.635,7.293,13.139,35.485,0.269
80,492.400,3.379,1.549,2.369,2.803,3.620,4.903,6.790,12.073,24.225,0.296
85,464.400,3.537,1.557,2.431,2.926,3.743,5.129,6.995,15.338,35.961,0.283
90,591.400,2.966,1.451,2.179,2.551,3.103,4.187,5.238,9.876,28.924,0.337
95,563.600,3.172,1.532,2.247,2.640,3.294,4.453,6.023,12.807,25.384,0.315
100,584.000,2.941,1.353,2.164,2.531,3.108,4.110,5.525,10.322,27.497,0.340
105,601.600,2.893,1.451,2.150,2.480,3.061,4.135,5.118,10.512,26.581,0.346
110,452.600,3.840,1.705,2.651,3.197,4.070,5.592,7.138,15.171,37.490,0.260
115,415.800,4.216,1.815,2.769,3.283,4.284,6.727,9.072,22.172,35.392,0.237
120,427.600,3.920,1.859,2.742,3.300,4.207,5.855,7.469,12.880,29.386,0.255
125,525.600,3.354,1.593,2.398,2.820,3.533,4.754,6.292,11.901,30.565,0.298
130,557.600,3.269,1.597,2.304,2.695,3.371,4.639,6.410,13.440,27.615,0.306
135,578.400,2.900,1.476,2.180,2.499,3.024,3.970,4.957,10.073,22.978,0.345
140,585.600,2.921,1.516,2.193,2.509,3.079,4.029,5.242,9.605,26.433,0.342
145,632.400,2.955,1.568,2.166,2.506,3.035,4.148,5.633,10.504,30.356,0.338
150,552.800,3.161,1.464,2.280,2.682,3.283,4.419,5.891,11.731,30.906,0.316
155,622.400,2.872,1.543,2.158,2.483,2.956,3.809,5.205,10.588,21.765,0.348
160,571.800,2.985,1.544,2.197,2.535,3.073,4.089,5.506,10.969,29.236,0.335
165,591.800,2.928,1.415,2.205,2.547,3.095,3.967,5.058,9.849,24.025,0.342
170,604.200,2.869,1.462,2.167,2.486,3.002,3.881,4.961,9.936,22.756,0.349
175,519.600,3.138,1.546,2.291,2.675,3.286,4.370,5.785,10.850,31.825,0.319
