Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,54.400,14.894,1.426,7.343,15.753,21.456,25.822,28.506,36.238,39.712,0.067
5,60.000,15.373,1.478,8.096,15.733,20.926,28.263,30.273,43.501,46.439,0.065
10,58.800,14.419,1.341,7.628,14.682,19.476,24.455,28.339,38.936,44.736,0.069
15,63.400,16.043,1.365,8.366,16.016,22.935,29.511,32.964,39.243,43.856,0.062
20,56.400,14.027,1.401,7.371,14.490,19.696,25.088,28.440,30.930,31.552,0.071
25,57.400,16.697,1.278,9.959,17.263,23.289,28.183,33.489,47.830,55.447,0.060
30,50.600,17.640,1.487,8.246,18.980,25.679,30.896,34.471,37.174,50.358,0.057
35,59.200,14.007,1.438,6.512,14.487,19.710,25.486,28.983,39.523,43.521,0.071
40,61.800,15.452,1.326,7.160,16.120,21.824,27.725,30.975,38.610,45.224,0.065
45,55.000,17.325,1.413,6.355,17.391,23.637,33.919,37.856,53.683,61.988,0.058
50,41.000,28.202,1.517,15.523,31.724,39.142,47.230,53.782,59.798,60.651,0.035
55,38.000,30.600,1.614,18.093,32.874,43.730,50.022,55.386,67.050,67.288,0.033
60,44.000,25.249,1.806,18.647,25.328,34.758,42.296,46.554,63.967,72.836,0.040
65,40.200,29.167,1.754,20.644,30.237,38.391,49.496,52.955,60.098,69.853,0.034
70,46.600,27.181,1.869,18.496,27.192,37.882,47.167,51.572,65.262,72.489,0.037
75,45.800,33.710,2.090,23.124,36.280,45.797,55.703,60.195,71.437,77.644,0.030
80,49.200,24.476,1.766,12.659,26.890,34.520,44.175,46.766,56.371,60.898,0.041
85,41.200,30.082,1.696,21.108,32.335,40.926,48.539,53.087,62.695,69.576,0.033
90,51.600,19.873,1.587,11.573,20.964,28.018,33.692,37.315,45.760,48.800,0.050
95,49.200,23.436,1.694,14.968,23.283,31.054,42.231,46.767,60.212,70.615,0.043
100,56.000,20.485,1.600,10.910,21.148,28.559,37.024,44.701,53.578,63.793,0.049
105,56.600,18.937,1.814,10.561,19.072,25.681,33.931,39.925,46.727,56.481,0.053
110,39.200,31.772,1.711,19.017,34.761,45.035,54.029,59.317,64.183,70.233,0.031
115,38.800,35.842,1.950,26.151,39.840,48.702,56.081,62.654,75.918,76.240,0.028
120,42.800,35.956,1.882,25.063,40.965,50.430,58.474,64.328,72.171,75.461,0.028
125,45.800,27.284,1.740,18.175,26.699,36.715,46.310,51.963,73.848,94.235,0.037
130,52.800,23.570,1.633,14.302,24.606,32.573,41.989,45.753,56.975,58.918,0.042
135,55.400,20.905,1.664,12.714,21.008,29.018,37.213,42.053,53.110,75.338,0.048
140,52.000,20.432,1.676,13.021,20.432,27.660,35.739,42.281,51.528,57.259,0.049
145,54.200,20.000,1.567,9.153,19.441,28.475,37.748,43.458,52.807,56.576,0.050
150,51.800,22.412,1.588,13.669,23.166,30.195,37.668,41.806,48.574,65.362,0.045
155,57.800,18.180,1.535,7.490,18.147,25.992,33.142,38.708,46.953,51.698,0.055
160,49.800,20.590,1.671,14.099,21.188,27.699,35.254,40.112,55.313,66.429,0.049
165,48.200,21.676,1.579,15.241,21.656,29.338,37.307,41.106,51.600,54.432,0.046
170,53.800,18.692,1.462,12.311,19.528,25.617,30.801,35.390,41.766,51.387,0.053
175,49.200,24.727,1.666,15.361,26.085,34.175,41.618,47.003,58.807,64.847,0.040
