Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1451.600,6.891,0.682,2.537,5.844,9.552,12.990,18.524,25.044,41.077,0.145
5,1464.400,6.821,0.955,2.525,5.668,9.428,13.021,18.055,25.025,46.439,0.147
10,1500.600,6.666,0.733,2.432,5.521,9.479,12.628,18.079,23.278,44.736,0.150
15,1453.400,6.876,0.633,2.521,5.703,9.501,13.039,18.665,26.150,43.856,0.145
20,1547.400,6.463,0.709,2.386,5.533,9.109,12.044,16.922,22.971,31.552,0.155
25,1426.800,7.007,0.730,2.551,5.733,9.742,13.405,18.587,26.409,55.447,0.143
30,1378.600,7.249,0.722,2.681,6.119,9.907,13.633,19.411,27.338,50.358,0.138
35,1531.600,6.527,0.697,2.398,5.586,9.221,12.108,17.093,22.834,43.521,0.153
40,1464.800,6.825,0.879,2.529,5.768,9.429,12.874,18.154,24.954,45.224,0.147
45,1362.800,7.343,0.713,2.636,5.953,9.978,14.293,19.616,28.360,61.988,0.136
50,960.400,10.408,0.662,3.190,7.035,13.022,25.383,32.791,45.057,81.399,0.096
55,953.600,10.452,1.495,3.269,7.358,13.130,24.869,32.071,47.154,86.468,0.096
60,1079.200,9.274,0.704,2.971,6.803,11.690,21.289,27.887,41.319,80.764,0.108
65,1134.200,8.809,0.784,2.936,6.514,11.535,18.503,25.526,39.309,69.853,0.114
70,1115.200,8.968,0.908,2.915,6.657,11.647,19.611,25.864,43.223,76.723,0.112
75,1007.200,9.927,1.334,3.191,7.369,12.647,21.518,29.463,47.686,77.644,0.101
80,1161.800,8.597,1.324,2.882,6.708,11.286,17.787,24.006,36.505,70.752,0.116
85,1098.200,9.104,0.782,3.042,7.042,11.833,18.585,26.245,42.043,69.576,0.110
90,1376.200,7.268,0.660,2.582,6.031,10.189,14.040,18.827,28.045,48.800,0.138
95,1312.600,7.615,0.851,2.676,6.206,10.380,14.841,19.792,32.282,70.615,0.131
100,1366.400,7.318,0.702,2.566,5.971,10.074,14.030,19.011,29.106,63.793,0.137
105,1399.200,7.142,0.693,2.509,5.842,9.912,13.819,18.800,27.689,56.481,0.140
110,1038.200,9.631,0.650,3.245,6.982,12.202,20.188,29.112,46.980,70.233,0.104
115,948.800,10.500,0.713,3.335,7.592,13.067,23.834,32.947,50.446,76.240,0.095
120,965.200,10.353,0.954,3.320,7.165,12.777,23.509,31.883,51.340,75.461,0.097
125,1215.200,8.232,0.787,2.856,6.523,11.025,15.998,21.527,36.661,94.235,0.121
130,1291.600,7.736,0.959,2.723,6.229,10.473,15.274,20.074,33.014,58.918,0.129
135,1369.800,7.304,0.669,2.534,5.970,10.082,13.922,18.865,30.864,75.338,0.137
140,1376.000,7.261,1.158,2.544,6.033,10.027,14.067,18.671,28.543,57.259,0.138
145,1425.600,7.018,0.822,2.496,5.667,9.672,13.388,18.311,28.837,56.576,0.142
150,1298.400,7.695,0.663,2.733,6.386,10.509,14.719,20.076,31.273,65.362,0.130
155,1437.800,6.952,0.797,2.491,5.691,9.718,13.128,18.366,26.951,51.698,0.144
160,1370.000,7.302,0.765,2.577,6.019,10.088,13.936,19.280,28.489,66.429,0.137
165,1373.600,7.281,0.967,2.583,5.896,9.916,13.979,19.248,29.354,54.432,0.137
170,1414.200,7.070,0.746,2.506,5.815,9.851,13.704,18.926,26.395,51.387,0.141
175,1216.600,8.195,1.024,2.708,6.226,10.629,17.242,24.287,35.652,64.847,0.122
