Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1349,1349.000,755,2736,6141,7413,10105,13733,20563,27926,41077
1,1528,1528.000,762,2408,5684,6550,8995,12618,18092,22459,31203
2,1498,1498.000,1104,2500,5498,6695,9501,12469,17453,25178,37021
3,1401,1401.000,682,2619,6018,7098,9874,13351,19083,24781,35786
4,1482,1482.000,1124,2516,5762,6766,9318,12946,18524,25546,36238
5,1465,1465.000,1248,2553,5568,6800,9469,13188,17788,25826,46439
6,1459,1459.000,955,2553,5689,6892,9645,13428,18793,24684,37462
7,1540,1540.000,1297,2467,5336,6466,9036,12338,17292,22828,34316
8,1501,1501.000,982,2396,5608,6654,9248,12486,17919,23974,35101
9,1357,1357.000,1095,2658,6062,7351,9968,13673,19657,28434,45923
10,1461,1461.000,812,2444,5599,6885,9723,13211,18973,24766,44736
11,1542,1542.000,1127,2366,5523,6444,9267,11913,17321,22252,34579
12,1558,1558.000,733,2356,5674,6453,9240,11971,17391,21164,36222
13,1522,1522.000,1132,2380,5352,6536,9403,12751,17632,22444,34397
14,1420,1420.000,1192,2585,5633,7050,9965,13337,18766,26496,39474
15,1341,1341.000,1190,2799,5779,7467,10072,14499,20449,28883,41419
16,1391,1391.000,1471,2677,6058,7174,9878,13428,19874,28954,43856
17,1465,1465.000,743,2471,5680,6797,9415,12708,18297,25809,35152
18,1590,1590.000,669,2304,5451,6295,8895,11656,17352,21258,34377
19,1480,1480.000,633,2504,5763,6761,9430,12809,18187,24039,39243
20,1605,1605.000,791,2331,5013,6223,8898,11726,16797,22070,29891
21,1516,1516.000,1176,2433,5483,6619,9260,12483,17729,25018,31552
22,1551,1551.000,709,2327,5814,6422,9036,11715,17104,20676,27984
23,1537,1537.000,985,2384,5724,6514,9066,11973,16842,23751,30301
24,1528,1528.000,768,2477,5468,6550,9341,12403,15943,24334,29298
25,1466,1466.000,1301,2480,5656,6812,9490,12918,18501,26968,38913
26,1486,1486.000,1046,2447,5470,6749,9497,12707,18062,25700,35328
27,1526,1526.000,730,2393,5462,6529,9357,12171,17487,22918,37810
28,1351,1351.000,945,2671,6023,7417,10121,14507,20069,29425,55447
29,1305,1305.000,1456,2770,6303,7654,10577,14597,20068,27755,39277
30,1343,1343.000,725,2786,6329,7443,10152,13834,19904,27950,36852
31,1359,1359.000,722,2691,6029,7359,10010,13503,19297,29385,50358
32,1357,1357.000,1487,2747,6315,7341,9950,14018,20123,26929,36177
33,1390,1390.000,828,2666,6042,7212,9700,13694,19809,27016,37174
34,1444,1444.000,1268,2523,5867,6913,9775,13325,17903,23166,34681
35,1615,1615.000,720,2330,5111,6192,9004,11455,15827,20849,28085
36,1544,1544.000,697,2392,5387,6464,9165,12006,16711,23616,43521
37,1564,1564.000,1023,2359,5815,6398,9095,11530,16916,20837,27820
38,1547,1547.000,744,2340,5356,6492,8984,12316,17387,24971,40208
39,1388,1388.000,1120,2653,6154,7167,9931,12864,18341,26255,39523
40,1364,1364.000,1060,2665,5730,7343,10084,14248,20096,29720,45224
41,1463,1463.000,879,2591,6009,6825,9237,12721,17572,24323,40488
42,1504,1504.000,1165,2439,5802,6646,9302,12790,17273,22813,30452
43,1476,1476.000,1077,2571,5835,6768,9351,12582,17547,23726,35359
44,1517,1517.000,1244,2435,5340,6590,9169,12505,17529,24954,38610
45,1683,1683.000,755,2246,4612,5935,8728,11362,14922,20336,27708
46,1353,1353.000,713,2810,6265,7423,9884,14017,20412,28074,52076
47,1309,1309.000,1449,2780,6190,7631,10618,14746,20233,28167,43935
48,1272,1272.000,908,2805,6312,7836,10558,16093,20765,30221,53683
49,1197,1197.000,1338,2857,6817,8393,10928,17356,22197,37204,61988
50,953,953.000,1271,3252,7399,10454,12748,25960,32969,41769,52916
51,904,904.000,1184,3278,7330,11088,13759,28315,34660,45354,60651
52,949,949.000,745,3263,7338,10550,13404,24546,32791,46429,67053
53,946,946.000,662,3126,6280,10560,13509,25823,32668,51308,81399
54,1050,1050.000,1624,3020,6733,9512,12029,22236,29811,42136,60554
55,974,974.000,1495,3140,7134,10233,13374,23993,31981,48333,58683
56,1016,1016.000,1692,3323,7055,9891,12665,23443,29875,42652,53242
57,1007,1007.000,1726,3139,7017,9958,12343,23352,30499,46494,62678
58,910,910.000,1727,3405,8291,10949,13294,25664,33911,45464,86468
59,861,861.000,1614,3304,7475,11412,14263,28184,35043,49398,67469
60,932,932.000,1184,3140,6813,10725,13398,25987,35056,50151,80764
61,1048,1048.000,1514,3143,7091,9537,12202,21397,28573,41237,62546
62,1219,1219.000,704,2692,5956,8189,10807,19084,23989,33084,60419
63,1106,1106.000,1426,2976,7079,9055,11346,19672,26151,38077,65954
64,1091,1091.000,1060,3018,7116,9214,11709,21365,26562,38346,48829
65,1176,1176.000,784,2828,6325,8446,11005,19013,24959,34209,56469
66,1115,1115.000,1283,2894,6547,8960,11379,20073,27539,41117,55776
67,1113,1113.000,1530,2954,6091,9016,11604,20714,28211,39854,60098
68,1065,1065.000,1698,3174,7131,9353,12389,17713,24378,52401,69853
69,1202,1202.000,1564,2876,6437,8346,11349,16556,22803,36876,54052
70,1194,1194.000,1107,2830,6627,8385,11122,16844,22745,40073,59011
71,1205,1205.000,1287,2717,6214,8289,10925,17923,23624,36334,76723
72,1082,1082.000,908,2915,6590,9284,12058,21748,27723,44137,67900
73,907,907.000,1614,3618,8446,11068,13578,24474,32505,49389,72489
74,1188,1188.000,1167,2744,5802,8351,11053,18668,24658,35768,52656
75,1128,1128.000,1465,2995,6767,8934,11560,18069,25224,43419,57236
76,923,923.000,1841,3279,7703,10769,13453,24833,31456,51498,75819
77,1048,1048.000,1767,2947,6841,9508,12334,20995,30608,42875,62154
78,1014,1014.000,1334,3433,7821,9874,12696,19103,27326,48851,71437
79,923,923.000,1605,3295,7902,10831,13800,22806,33541,52627,77644
80,1043,1043.000,1599,3206,7507,9548,12427,19452,27180,44175,70752
81,1213,1213.000,1324,2907,6701,8227,11019,16461,21993,34174,49393
82,1317,1317.000,1386,2537,5911,7601,10289,16766,21089,30133,45928
83,1209,1209.000,1382,2813,6705,8303,10738,17152,23810,33575,49740
84,1027,1027.000,1660,3243,7570,9691,12361,20953,28177,44578,57285
85,1010,1010.000,1683,3298,7816,9924,12464,23123,28623,43028,69576
86,1001,1001.000,782,3350,7717,9990,13164,20959,28535,44190,69234
87,1070,1070.000,1480,3054,7089,9374,12063,19944,28050,43305,62695
88,1164,1164.000,885,2856,6625,8540,11322,16848,23919,39505,59969
89,1246,1246.000,1317,2750,6643,8021,10892,14642,20337,39179,61539
90,1367,1367.000,1082,2594,5627,7337,10135,14582,20081,30057,48800
91,1436,1436.000,1174,2542,5942,6948,9938,12743,17347,25478,35173
92,1336,1336.000,1401,2647,6429,7469,10133,14045,18970,29297,46087
93,1350,1350.000,660,2620,6212,7418,10522,14667,19587,29022,42376
94,1392,1392.000,1448,2512,5863,7188,10271,14172,18598,27648,42087
95,1386,1386.000,1459,2539,6031,7201,9971,13892,18223,26744,53014
96,1416,1416.000,1311,2412,5740,7066,9788,13592,18477,28074,65524
97,1153,1153.000,1145,3024,7103,8667,11537,16844,22304,44148,70615
98,1279,1279.000,1253,2813,6252,7817,10549,15091,21051,35158,48037
99,1329,1329.000,851,2727,6242,7521,10295,14317,19159,29188,51630
100,1276,1276.000,1448,2743,6134,7830,10850,14978,20198,36025,56525
101,1262,1262.000,1098,2777,6488,7929,10858,14966,21050,32736,63793
102,1374,1374.000,702,2560,5881,7345,10108,14414,19194,29268,48497
103,1428,1428.000,718,2460,5788,6923,9645,13355,18619,24246,43128
104,1492,1492.000,1068,2335,5738,6713,9481,12955,17408,25253,42647
105,1484,1484.000,786,2402,5557,6786,9545,13079,17742,25575,46360
106,1301,1301.000,693,2677,6198,7636,10297,14216,20351,34816,56481
107,1395,1395.000,1317,2600,5883,7179,10037,14160,19158,24858,39925
108,1409,1409.000,956,2440,5855,7070,10036,13814,18497,25416,46727
109,1407,1407.000,1055,2484,5777,7094,9648,14513,18552,27526,51836
