Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1694163132.270590,18922,0,1
1,NewOrder,1694163132.289593,14915,0,1
4,Delivery,1694163132.304523,35894,0,1
2,Payment,1694163132.340433,6373,0,1
2,Payment,1694163132.346821,5158,0,1
1,NewOrder,1694163132.351991,14543,0,1
2,Payment,1694163132.366549,8855,0,1
2,Payment,1694163132.375435,7313,0,1
2,Payment,1694163132.382762,7064,0,1
1,NewOrder,1694163132.389840,9501,0,1
1,NewOrder,1694163132.399355,11631,0,1
1,NewOrder,1694163132.410999,9412,0,1
2,Payment,1694163132.420427,4348,0,1
1,NewOrder,1694163132.424787,11255,0,1
2,Payment,1694163132.436056,5012,0,1
1,NewOrder,1694163132.441082,13400,0,1
1,NewOrder,1694163132.454496,10864,0,1
2,Payment,1694163132.465373,4265,0,1
2,Payment,1694163132.469653,4518,0,1
2,Payment,1694163132.474183,6284,0,1
4,Delivery,1694163132.480481,22740,0,1
1,NewOrder,1694163132.503234,8995,0,1
1,NewOrder,1694163132.512243,11095,0,1
2,Payment,1694163132.523351,4863,0,1
1,NewOrder,1694163132.528225,9341,0,1
5,StockLevel,1694163132.537580,2584,0,1
1,NewOrder,1694163132.540175,8511,0,1
5,StockLevel,1694163132.548700,2040,0,1
1,NewOrder,1694163132.550752,11039,0,1
1,NewOrder,1694163132.561805,8974,0,1
2,Payment,1694163132.570792,4301,0,1
2,Payment,1694163132.575104,3940,0,1
2,Payment,1694163132.579057,3996,0,1
2,Payment,1694163132.583065,4266,0,1
5,StockLevel,1694163132.587341,2140,0,1
2,Payment,1694163132.589492,4180,0,1
2,Payment,1694163132.593686,4196,0,1
1,NewOrder,1694163132.597895,12146,0,1
2,Payment,1694163132.610056,4087,0,1
1,NewOrder,1694163132.614154,12395,0,1
3,OrderStatus,1694163132.626562,2622,0,1
2,Payment,1694163132.629196,3926,0,1
2,Payment,1694163132.633136,5389,0,1
1,NewOrder,1694163132.638619,14610,0,1
2,Payment,1694163132.653243,5821,0,1
1,NewOrder,1694163132.659078,8909,0,1
2,Payment,1694163132.668001,4455,0,1
1,NewOrder,1694163132.672470,13236,0,1
1,NewOrder,1694163132.685720,13110,0,1
1,NewOrder,1694163132.698844,11765,0,1
1,NewOrder,1694163132.710622,10138,0,1
1,NewOrder,1694163132.720774,11665,0,1
