Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,39.000,9.685,3.241,3.803,4.034,4.518,5.549,6.761,94.810,946.590,0.103
5,59.000,4.127,2.887,3.613,3.887,4.306,4.957,5.696,9.579,12.278,0.242
10,59.400,4.203,2.978,3.617,3.909,4.406,5.285,6.081,9.904,13.764,0.238
15,63.400,3.941,2.705,3.422,3.703,4.127,4.684,5.743,7.356,11.283,0.254
20,64.200,3.887,2.789,3.354,3.628,4.012,4.688,5.627,9.177,12.917,0.257
25,63.800,3.866,2.653,3.308,3.581,3.992,4.715,5.697,7.447,19.593,0.259
30,61.800,4.050,2.646,3.285,3.551,4.114,5.496,7.093,9.894,19.851,0.247
35,59.200,4.091,2.769,3.386,3.745,4.229,5.101,5.978,10.410,30.380,0.244
40,61.600,4.237,2.840,3.555,3.904,4.450,5.365,5.895,10.717,15.670,0.236
45,57.600,4.478,2.952,3.517,3.789,4.266,5.070,6.600,21.596,67.842,0.223
50,59.800,4.036,2.890,3.366,3.647,4.092,5.018,6.394,10.938,17.045,0.248
55,68.400,3.869,2.880,3.363,3.593,4.040,4.758,5.600,7.596,8.763,0.258
