Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.400,1.834,1.076,1.304,1.634,2.470,2.855,2.916,3.155,3.155,0.545
5,6.800,1.276,0.910,1.065,1.231,1.312,1.689,1.859,2.090,2.090,0.784
10,4.400,1.260,0.902,1.074,1.200,1.316,1.579,1.873,2.140,2.140,0.794
15,5.000,1.390,1.015,1.114,1.241,1.436,1.852,1.885,3.294,3.294,0.720
20,8.000,1.188,0.889,1.087,1.166,1.293,1.477,1.552,1.560,1.560,0.842
25,6.600,1.199,0.949,1.084,1.151,1.271,1.492,1.673,1.712,1.712,0.834
30,5.000,1.325,0.977,1.112,1.218,1.318,1.356,1.778,4.088,4.088,0.755
35,5.800,1.291,0.733,1.004,1.119,1.281,1.722,2.238,4.491,4.491,0.775
40,4.800,1.110,0.973,1.030,1.124,1.206,1.258,1.313,1.323,1.323,0.901
45,5.400,1.194,0.955,1.070,1.119,1.295,1.333,1.405,2.237,2.237,0.837
50,4.200,1.231,0.887,1.069,1.233,1.402,1.477,1.493,1.565,1.565,0.812
55,3.400,1.120,0.876,0.985,1.112,1.187,1.422,1.466,1.466,1.466,0.893
