Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,136.200,7.346,1.076,3.795,6.143,9.765,12.571,16.031,25.380,44.079,0.136
5,121.000,8.253,0.910,3.437,5.649,9.101,11.621,14.013,22.187,451.268,0.121
10,107.800,9.265,0.902,3.609,5.634,9.987,12.953,16.404,23.543,886.153,0.108
15,136.200,7.333,1.015,3.584,6.354,9.854,12.490,17.926,23.368,50.939,0.136
20,154.200,6.478,0.889,3.469,4.733,8.921,11.095,13.301,21.327,34.419,0.154
25,152.000,6.574,0.949,3.528,5.626,9.012,11.013,13.597,22.236,24.467,0.152
30,151.400,6.600,0.977,3.449,5.696,8.988,11.310,13.854,20.553,25.151,0.152
35,142.800,7.005,0.733,3.558,5.955,9.450,12.444,17.537,21.811,23.685,0.143
40,128.800,7.754,0.973,3.587,6.067,9.782,11.667,14.144,22.642,354.134,0.129
45,122.000,8.193,0.955,3.770,6.605,10.040,14.078,19.293,29.014,284.461,0.122
50,126.200,7.916,0.887,3.859,6.441,10.356,14.642,20.332,23.806,70.292,0.126
55,142.000,7.026,0.876,3.588,5.898,9.438,11.716,14.294,20.243,155.057,0.142
