Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,115,115.000,1600,4456,7291,8739,11084,16031,21448,26078,44079
1,146,146.000,1456,3781,6052,6804,9377,12268,13599,21356,22559
2,138,138.000,1275,4007,6705,7271,9818,11448,13180,29766,34567
3,130,130.000,1344,4055,6114,7626,9424,13623,20365,24698,25380
4,152,152.000,1076,3411,4574,6636,9500,11526,19494,23177,26606
5,160,160.000,910,3346,4179,6209,8754,10795,15236,22187,22650
6,144,144.000,969,3466,6479,6909,9503,12534,16087,20252,20529
7,75,75.000,975,3846,6737,13643,9948,12727,19770,296679,296679
8,68,68.000,1161,3387,4125,14356,8968,11311,14775,451268,451268
9,158,158.000,1057,3473,4940,6358,8835,11213,12436,19992,21420
10,145,145.000,902,3479,5946,6906,9325,11907,16143,20761,23923
11,137,137.000,1031,3720,5663,7229,10150,12992,15844,20574,21722
12,149,149.000,1047,3601,5143,6702,9684,12141,13778,23543,28120
13,84,84.000,1113,4159,7897,19301,11498,20444,20992,886153,886153
14,24,24.000,1074,3490,4458,15904,7194,11016,12070,264022,264022
15,143,143.000,1058,3498,6905,6996,9485,11513,12403,22753,23470
16,139,139.000,1143,3641,7061,7165,9810,11630,15265,19582,20647
17,146,146.000,1015,3353,4265,6865,9068,12518,18036,23347,50939
18,126,126.000,1263,3886,6056,7926,10891,15134,17665,22559,23911
19,127,127.000,1114,3862,6900,7844,10143,15270,22783,25252,28490
20,140,140.000,1066,3586,4531,7158,10087,12481,18464,24440,34419
21,171,171.000,908,3183,4201,5854,8491,10489,11601,18954,24812
22,165,165.000,1019,3413,4561,6048,8367,10785,11514,20071,20236
23,151,151.000,969,3520,5657,6614,9092,11287,13012,20220,20491
24,144,144.000,889,3607,5172,6903,9226,11323,18821,22690,33002
25,169,169.000,955,3438,4101,5916,8068,10296,12443,19205,23737
26,151,151.000,949,3552,5635,6614,8949,10873,13309,21166,22520
27,146,146.000,1029,3649,6295,6872,9691,11641,15188,22886,24467
28,149,149.000,1211,3575,6044,6717,9295,11105,13097,22604,22744
29,145,145.000,965,3456,6323,6849,9266,11487,15310,21627,23154
30,160,160.000,1164,3407,4813,6272,8636,11049,13373,19557,24659
31,153,153.000,977,3454,5903,6545,8621,10476,14824,20544,25151
32,145,145.000,1018,3494,6513,6837,8907,12071,13421,20207,24780
33,157,157.000,1039,3503,5696,6372,8931,11132,12902,18336,21432
34,142,142.000,1149,3434,5820,7037,9517,12805,16657,21754,22020
35,149,149.000,971,3569,6479,6697,9213,11355,12750,20076,23122
36,143,143.000,1024,3770,5303,6997,9714,12636,14140,22182,22655
37,141,141.000,733,3463,5847,7075,8894,13264,18136,21317,23685
38,129,129.000,884,3563,6879,7744,10128,14394,18748,21811,22598
39,152,152.000,891,3511,5330,6622,9372,11704,13877,22558,22597
40,60,60.000,975,3754,7020,16649,10606,12478,97309,354134,354134
41,151,151.000,973,3505,4563,6579,9427,12045,17861,22756,23617
42,144,144.000,999,3556,6579,6974,9489,11503,13163,22642,23121
43,144,144.000,1081,3786,6265,7013,9913,11715,12537,18302,18527
44,145,145.000,1052,3574,5704,6805,9889,11509,13331,18778,19149
45,145,145.000,956,3467,5491,8405,8700,12052,13424,22402,284461
46,101,101.000,955,3655,5631,7759,8909,11512,18686,55567,71741
47,131,131.000,1073,3788,7234,7590,10329,12613,14764,21210,24206
48,116,116.000,1077,4217,7682,8716,11480,14845,21030,29564,30721
49,117,117.000,1029,4053,6352,8460,10925,19198,23761,26285,29014
50,130,130.000,1037,3708,5531,7763,10761,15062,18120,25361,29292
51,102,102.000,1181,3972,8223,9763,13426,20682,21114,28019,35207
52,117,117.000,1069,4132,7176,8545,10876,14393,19344,23752,70292
53,140,140.000,887,3840,5986,7079,9227,12925,18163,22684,23044
54,142,142.000,905,3812,5163,7033,8779,12516,16384,23806,24646
55,143,143.000,1094,3675,6031,6974,9775,11547,13552,19283,22280
56,126,126.000,876,3516,5704,7958,9727,12468,16769,19905,155057
57,150,150.000,1311,3725,6075,6677,9011,10568,11887,19316,20356
58,143,143.000,894,3587,6018,6974,9438,11795,18377,20960,24482
59,148,148.000,985,3556,5156,6686,9753,11977,13831,20243,21472
