Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.200,38.370,38.370,38.370,38.370,38.370,38.370,38.370,38.370,38.370,0.026
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.200,21.437,21.437,21.437,21.437,21.437,21.437,21.437,21.437,21.437,0.047
25,4.400,21.804,17.296,20.163,21.708,22.661,24.062,25.261,30.076,30.076,0.046
30,5.400,20.556,17.683,18.781,19.545,21.608,24.225,25.643,28.245,28.245,0.049
35,3.800,28.177,17.997,18.888,22.002,24.868,26.904,144.067,144.067,144.067,0.035
40,3.600,21.444,19.517,19.799,20.484,22.660,25.346,29.807,29.807,29.807,0.047
45,4.800,20.439,17.245,18.710,20.465,22.155,22.977,23.173,25.229,25.229,0.049
50,5.400,20.922,17.566,19.296,20.222,22.296,24.681,26.476,27.731,27.731,0.048
55,6.400,19.078,16.170,18.076,18.709,19.814,20.488,22.282,28.028,28.028,0.052
