Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.400,3148.139,2921.429,2921.429,3374.848,3374.848,3374.848,3374.848,3374.848,3374.848,0.000
5,0.200,3300.947,3300.947,3300.947,3300.947,3300.947,3300.947,3300.947,3300.947,3300.947,0.000
10,0.400,3015.518,3006.331,3006.331,3024.705,3024.705,3024.705,3024.705,3024.705,3024.705,0.000
15,0.400,3143.645,3044.691,3044.691,3242.598,3242.598,3242.598,3242.598,3242.598,3242.598,0.000
20,0.200,3241.292,3241.292,3241.292,3241.292,3241.292,3241.292,3241.292,3241.292,3241.292,0.000
25,5.200,1.808,1.472,1.544,1.664,1.752,1.889,1.945,5.654,5.654,0.553
30,5.600,1.641,1.311,1.554,1.669,1.781,1.822,1.907,1.919,1.919,0.610
35,3.000,1.698,1.212,1.510,1.608,1.925,2.062,2.238,2.238,2.238,0.589
40,2.200,1.679,1.457,1.462,1.513,1.748,1.771,2.724,2.724,2.724,0.596
45,6.000,1.586,1.268,1.448,1.541,1.632,1.941,2.078,2.447,2.447,0.630
50,4.600,1.586,1.333,1.414,1.504,1.653,1.741,1.860,2.828,2.828,0.630
55,5.800,1.554,1.255,1.410,1.575,1.644,1.768,1.832,1.900,1.900,0.643
