Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,305.902,4.218,289.553,303.355,321.416,357.770,403.054,439.034,439.034,0.003
5,390.800,13.333,2.941,8.804,10.240,11.863,13.434,15.262,249.607,357.660,0.075
10,468.800,12.299,3.210,8.550,9.902,11.466,12.882,14.255,39.390,557.861,0.081
15,14.200,385.484,10.151,215.031,491.427,538.896,553.083,634.597,643.013,643.013,0.003
20,453.400,12.538,3.879,8.441,9.876,11.453,13.657,15.578,22.174,535.387,0.080
25,461.200,12.974,3.214,9.917,11.650,13.020,14.964,17.368,24.945,325.893,0.077
30,499.800,11.896,3.061,9.511,10.966,12.623,14.482,16.611,22.068,213.639,0.084
35,278.400,19.886,3.921,8.980,10.476,12.083,13.656,16.863,307.485,418.712,0.050
40,73.000,70.244,3.831,8.990,10.843,14.650,302.706,332.151,359.307,369.034,0.014
45,593.200,10.148,3.085,8.475,10.030,11.529,12.767,13.782,17.374,27.244,0.099
50,175.200,31.821,2.956,8.513,10.126,12.066,15.257,171.482,568.479,697.836,0.031
55,183.400,30.795,3.143,8.626,10.133,11.846,14.386,20.285,454.942,694.370,0.032
60,534.600,11.168,3.561,9.135,10.732,12.598,14.329,15.920,21.121,44.646,0.090
65,495.000,12.208,3.308,9.687,11.215,12.592,14.263,15.569,19.696,327.977,0.082
70,453.400,13.206,3.352,9.206,10.641,12.250,13.824,15.683,26.070,435.137,0.076
75,125.200,42.297,3.747,9.311,10.877,12.834,208.298,307.474,366.171,395.749,0.024
80,15.200,280.129,6.097,274.477,297.351,304.788,350.252,385.335,388.958,388.958,0.004
85,538.000,11.573,3.558,8.884,10.488,12.123,14.357,16.907,21.452,479.228,0.086
90,167.400,32.181,3.299,8.667,10.160,12.112,15.822,260.319,346.746,650.714,0.031
95,15.400,372.316,5.017,152.179,446.765,507.724,553.840,693.613,696.881,696.881,0.003
100,493.000,11.445,3.314,8.678,10.240,11.913,14.007,16.141,26.940,258.159,0.087
105,508.400,11.784,3.741,9.946,11.555,13.079,14.852,16.247,20.274,47.854,0.085
110,290.200,19.812,3.030,9.754,11.185,12.683,14.720,17.360,339.942,396.569,0.050
115,157.600,34.020,3.679,9.487,11.176,13.005,16.600,295.470,347.585,390.595,0.029
120,371.200,14.873,2.894,9.068,10.574,12.234,13.788,14.991,73.393,959.928,0.067
125,545.000,11.031,3.411,8.634,10.064,11.659,13.202,14.418,17.978,312.515,0.091
130,269.800,23.054,3.833,8.485,9.994,11.505,13.676,18.542,449.429,495.921,0.043
135,16.600,303.614,8.791,24.460,335.453,501.621,546.871,547.107,574.712,574.712,0.003
140,563.400,10.621,3.073,8.622,10.225,11.935,13.968,15.890,20.607,34.215,0.094
145,322.200,17.458,3.583,9.821,11.749,13.194,15.329,18.523,293.143,360.724,0.057
150,305.200,18.686,3.304,9.745,11.344,12.859,14.640,17.039,341.656,498.111,0.054
155,337.600,16.500,3.738,9.362,10.856,12.481,14.496,16.705,270.105,351.674,0.061
160,530.600,11.363,3.242,8.977,10.484,12.028,13.319,14.740,18.885,295.052,0.088
165,490.400,11.300,3.262,8.632,10.057,11.610,13.071,14.245,17.645,350.476,0.088
170,183.400,31.059,3.900,8.521,10.337,11.936,14.775,99.399,545.667,862.618,0.032
175,71.600,75.057,4.083,8.848,10.742,13.304,303.110,462.455,1229.389,1229.862,0.013
