Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,400.400,13.535,4.547,10.076,12.937,16.072,19.258,21.911,25.666,61.479,0.074
5,375.200,14.299,4.489,10.640,13.459,16.839,20.359,23.358,32.980,73.477,0.070
10,383.200,14.443,4.399,10.842,13.740,17.047,20.618,22.967,30.161,82.064,0.069
15,380.000,14.361,3.969,10.813,13.667,16.967,20.416,22.566,30.627,65.547,0.070
20,407.800,13.357,4.601,10.134,12.539,15.825,18.821,20.934,28.713,64.811,0.075
25,364.800,14.398,4.122,10.756,13.544,17.067,20.579,23.082,30.941,71.336,0.069
30,359.200,14.986,4.683,11.351,14.326,17.792,21.412,23.752,30.607,64.776,0.067
35,359.200,14.452,4.217,10.765,13.639,17.101,20.328,23.249,34.554,63.250,0.069
40,312.400,16.243,5.363,11.535,14.946,18.876,24.044,28.330,47.699,67.666,0.062
45,281.200,19.558,5.632,12.729,16.458,21.597,32.749,42.080,66.914,123.435,0.051
50,262.000,21.310,5.227,13.047,17.415,24.129,35.822,46.648,90.800,129.913,0.047
55,264.600,20.462,5.105,12.701,16.891,22.963,35.074,45.317,81.540,135.520,0.049
60,269.400,20.709,4.306,12.750,16.938,23.776,35.364,48.747,75.343,107.236,0.048
65,272.200,20.058,5.684,12.622,16.425,21.976,32.084,45.125,87.079,148.561,0.050
70,296.200,18.318,5.294,12.317,15.991,20.930,29.102,37.456,61.638,90.433,0.055
75,242.400,21.779,5.168,13.718,17.844,24.379,36.759,49.199,82.317,126.608,0.046
80,254.400,20.690,6.427,13.389,17.425,23.248,31.408,41.589,85.059,162.208,0.048
85,278.400,17.934,4.645,12.839,16.628,20.982,26.626,31.145,48.598,117.067,0.056
90,372.200,15.011,4.963,11.497,14.228,17.738,21.189,23.480,30.836,56.060,0.067
95,337.600,15.977,5.200,11.926,15.194,18.830,23.070,26.155,34.947,46.069,0.063
100,330.000,16.579,5.007,11.807,15.056,19.400,24.377,30.133,44.171,71.096,0.060
105,315.000,17.167,4.629,12.022,15.692,20.085,25.684,30.566,47.454,99.832,0.058
110,257.200,19.707,5.540,13.954,18.066,22.694,30.024,37.387,57.806,88.662,0.051
115,266.200,19.696,6.500,13.733,18.498,23.500,28.647,33.545,51.144,89.319,0.051
120,278.000,18.786,5.225,13.135,16.884,22.123,27.863,34.464,59.041,96.197,0.053
125,317.200,17.130,4.846,12.115,15.870,20.167,24.976,30.014,46.768,65.942,0.058
130,334.800,15.967,4.631,11.956,15.396,19.310,23.055,25.055,31.025,57.722,0.063
135,362.000,14.973,4.273,11.183,14.055,17.835,21.386,24.419,31.273,74.172,0.067
140,357.800,15.240,4.793,11.553,14.477,18.056,21.616,24.356,30.990,51.515,0.066
145,335.600,15.281,5.147,11.309,14.454,18.351,22.008,24.565,30.761,61.655,0.065
150,357.000,14.757,4.542,11.152,14.074,17.391,20.956,23.807,30.582,74.755,0.068
155,355.600,15.104,5.430,11.222,14.333,17.949,21.569,23.988,31.331,68.824,0.066
160,355.000,15.233,4.511,11.497,14.594,18.191,21.699,24.433,30.609,49.796,0.066
165,322.800,16.584,5.127,11.727,15.099,19.235,24.735,29.106,48.002,75.717,0.060
170,316.600,17.290,4.525,12.023,15.645,19.986,26.493,32.078,47.491,89.228,0.058
175,290.800,18.358,5.216,12.737,16.305,20.849,27.365,35.744,65.881,122.344,0.054
