Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,35.400,6.021,0.789,3.846,4.949,6.325,9.655,12.982,35.316,36.151,0.166
5,32.600,6.169,0.643,3.785,5.235,7.222,10.092,14.497,20.682,33.865,0.162
10,30.200,5.889,0.776,3.722,5.168,6.966,10.562,11.682,15.570,20.804,0.170
15,38.400,6.205,0.759,4.255,5.576,7.421,10.466,13.698,16.358,19.696,0.161
20,40.800,5.507,0.593,3.537,4.655,6.052,8.673,13.083,22.782,28.388,0.182
25,34.000,6.430,1.306,4.145,5.726,7.931,10.029,12.480,22.272,31.845,0.156
30,34.600,6.676,0.768,4.613,6.078,7.946,10.236,11.712,16.878,35.867,0.150
35,32.000,7.181,0.807,3.858,5.197,7.320,12.148,17.929,50.131,50.947,0.139
40,29.200,7.108,0.645,4.110,6.368,8.394,11.337,16.166,23.832,37.964,0.141
45,23.000,7.895,0.751,4.940,6.510,9.244,12.004,19.067,28.354,37.558,0.127
50,24.400,7.259,0.793,4.576,6.169,8.707,11.357,17.365,25.336,28.284,0.138
55,24.200,6.465,1.693,4.540,5.868,7.528,10.047,11.998,15.634,19.934,0.155
60,20.800,7.139,1.404,4.182,6.159,8.453,11.958,15.669,22.306,24.329,0.140
65,21.400,6.461,0.733,4.343,6.089,7.817,10.560,13.293,17.023,19.903,0.155
70,24.000,6.031,1.274,4.061,5.259,6.813,9.840,11.613,22.500,26.693,0.166
75,25.400,6.921,0.794,4.410,6.076,8.148,11.016,12.715,25.104,27.133,0.144
80,20.400,6.050,1.899,3.662,5.223,7.480,9.977,11.763,19.266,23.983,0.165
85,24.600,6.652,1.890,4.682,6.039,7.854,9.446,10.546,22.651,28.326,0.150
90,32.200,5.708,0.790,3.350,4.478,6.344,9.683,12.367,31.170,34.188,0.175
95,29.200,6.361,0.862,4.156,5.062,6.752,10.251,11.372,35.173,45.468,0.157
100,27.200,5.580,1.155,3.618,5.105,6.796,8.554,9.859,17.243,19.815,0.179
105,27.400,6.049,1.792,3.903,5.315,7.340,9.587,13.352,18.996,21.808,0.165
110,21.000,8.687,1.040,4.669,6.634,10.096,13.348,16.596,29.761,93.556,0.115
115,25.800,7.983,0.706,4.814,6.240,8.522,10.681,17.322,52.251,57.063,0.125
120,24.400,7.720,0.966,5.345,6.673,9.072,11.431,13.402,23.070,70.945,0.130
125,28.000,6.101,0.705,3.978,5.481,7.517,9.702,13.093,19.437,21.054,0.164
130,32.400,5.910,0.655,4.173,5.451,6.782,8.861,11.433,18.355,20.093,0.169
135,32.600,5.573,1.488,3.897,5.129,6.780,9.077,10.811,14.217,14.244,0.179
140,28.600,6.160,1.150,3.840,5.537,7.332,9.256,11.850,19.976,26.315,0.162
145,32.400,6.308,0.785,3.793,5.161,7.494,9.820,13.865,29.572,29.694,0.159
150,32.000,5.473,1.137,3.559,4.623,6.302,8.996,12.956,18.707,23.860,0.183
155,36.000,5.462,0.650,3.562,4.900,6.441,9.137,10.573,18.723,20.899,0.183
160,31.200,5.854,0.832,3.642,5.071,6.629,10.174,14.111,22.843,27.324,0.171
165,26.800,6.267,0.585,3.759,5.046,7.098,10.267,15.647,28.627,35.466,0.160
170,30.600,5.815,0.956,3.695,5.091,6.786,9.259,13.004,19.308,21.495,0.172
175,24.200,6.647,0.855,4.058,5.786,7.962,10.474,11.846,22.778,41.819,0.150
